parameter_name,procedure_name,f_n,m_n,f_intercept,f_intercept_se,f_slope,f_slope_se,m_intercept,m_intercept_se,m_slope,m_slope_se,fm_diff_int,fm_diff_int_se,fm_diff_int_p,fm_diff_slope,fm_diff_slope_se,fm_diff_slope_p,f_sd,m_sd,r_m,r_c,Category,parameter_group
periphery resting time,Open Field,6472,6443,5.74369100139168,0.24062440708315255,-0.014361167237674045,0.017466102552418514,5.760529987458473,0.24062320970549456,-0.02488379001506895,0.017361051824213363,-0.016838986452521486,0.008581719942750194,0.04976426590359438,0.010522622236953395,0.007999269587474149,0.1883857666869122,0.24780461827111386,0.25982882,0.018589840495041227,0.9509265434102264,Behaviour,periphery time
repetitive beam break ('stereotypy counts'),Light-Dark Test,111,84,5.649798669180166,0.08113264136141496,0.07047820489996771,0.09092414729455714,5.886253643862095,0.08499598279568381,-0.0836239222919897,0.0738097371124255,-0.2364549746819651,0.11611105879655473,0.04338504411586523,0.15410212719259433,0.11585555616116405,0.18540678793018137,0.379861,0.3100351290593758,0.28359549252375443,0.3913125689839032,Behaviour,repetitive beam break ('stereotypy counts')
side changes,Light-Dark Test,1844,1791,3.631064407025839,0.4977881952698411,0.11018522414200183,0.03881869973637422,3.4566824329682575,0.49793595639832927,-0.011679089115373815,0.03503451728433982,0.17438197406307843,0.02767845364201887,3.365961027862485e-10,0.12186431323768201,0.025803596789847994,2.4239274958086802e-6,0.55208062,0.5215927630883411,0.07235109315316911,0.854449683709803,Behaviour,side changes
sleep bout lengths mean,Sleep Wake,864,842,5.916081941596248,0.010044660786596622,0.0277226149804924,0.009938933365008423,6.062156189316611,0.010378169205911014,0.02751417438981572,0.009621057042839089,-0.14607424772054636,0.013847114363868469,3.6173256430374298e-25,2.084405903401637e-4,0.013224231409391699,0.9874262905902615,0.16638676,0.18599241481375522,0.4645746050523356,0.5162762190797019,Behaviour,sleep bout lengths mean
sleep bout lengths standard deviation,Sleep Wake,864,842,6.437204267286261,0.01589948971355289,-0.013129698521300555,0.014815747334418452,6.549264612694474,0.01404080736069626,-0.054225730662010266,0.011861611335138078,-0.11206034540810435,0.018927447863882074,3.949705069900686e-9,0.04109603214087491,0.01751299207668965,0.019071600044380292,0.24072547,0.21385226517168388,0.1637243875823372,0.41728162326648394,Behaviour,sleep bout lengths standard deviation
sleep daily percent,Sleep Wake,864,842,3.729705157958191,0.005865332263587706,-0.010049230945824108,0.0055021850133057945,3.7999902467787985,0.005021163103131712,0.011107023919865903,0.004241126689432065,-0.07028508882064097,0.006917511709545466,1.6112514938821697e-23,-0.021156254865699133,0.006425348721932057,0.0010150653359395844,0.08997937,0.07618195609609109,0.3731786638934382,0.5146523710619573,Behaviour,sleep daily percent
sleep dark phase percent,Sleep Wake,864,842,3.0339754183982155,0.016011211177801233,-0.01492308115270067,0.015679358627089426,3.225666681310933,0.012738232438710766,0.0651138110411813,0.01128159141432246,-0.19169126291260777,0.019151197132001665,6.822136642276206e-23,-0.0800368921938048,0.018233818015749727,1.2136105601403646e-5,0.26357416,0.20736753685483145,0.43353495591414865,0.5099030368949738,Behaviour,sleep phase percent
sleep light phase percent,Sleep Wake,864,842,4.125916341969851,0.005128082344442293,-0.009359842870582216,0.0046532484050658485,4.1544696060779724,0.004417331684088772,-0.01038275948537042,0.0035621179174462987,-0.02855326411763922,0.005841073820218651,1.1229844764427199e-6,0.0010229165997747286,0.005359447320564958,0.8486586121517313,0.07522524,0.06270683452459963,0.12276914308179375,0.447568611449106,Behaviour,sleep phase percent
time immobile,Tail Suspension,586,585,4.838273415627553,0.0674484805291489,-0.035404746128925316,0.023074379011496258,4.9356327576352115,0.0666591419429622,-0.0496507515872901,0.02399693608043804,-0.0973593421288283,0.029643846841846393,0.0010553246113940084,0.014246005417269402,0.026120254848364905,0.585591097393778,0.28796179,0.33003416983545575,0.0959699465563546,0.6083681883699168,Behaviour,time immobile
time mobile dark side,Light-Dark Test,1844,1791,5.287708020683369,0.19703286278291612,0.07201686581084238,0.033157396713580964,5.033028535082025,0.1975290721215239,0.026287760296097328,0.03333368118431774,0.254679485603223,0.0213130687869755,3.0120537099941924e-32,0.045729105525714055,0.019791935617002637,0.02092254520525378,0.3556065,0.48842618227694234,0.17586407347503932,0.6587485386191139,Behaviour,time mobile
time mobile light side,Light-Dark Test,1844,1791,4.067455262744363,0.18474048403699583,-0.013677286769884153,0.055717965942419886,4.133834036609802,0.1850949836419355,-0.09247868074365985,0.05374182368729352,-0.06637877381864533,0.02972761174840294,0.02562261870517864,0.07880139388598198,0.026830865291372963,0.003337396714402356,0.57299829,0.5466722372085341,0.07705434200403384,0.5719806021323813,Behaviour,time mobile
total distance travelled,Light-Dark Test,111,84,8.307402534497937,0.0704497049878091,-0.05338603165145747,0.0736987184919827,8.153140727211328,0.08540142922205628,0.15382936927369123,0.07169947324082078,0.1542618071473465,0.10473956863144064,0.14280339109608417,-0.20721540073257325,0.10058447850621902,0.04103836203858552,0.2895251,0.2785499289133084,0.16645889482422227,0.5378200612449165,Behaviour,total distance travelled
total holepokes,Hole-board Exploration,1357,1324,3.668145091729543,0.015818721718909277,0.05544392507226296,0.015161340766207957,3.552079467415633,0.01693971769872482,0.049997898508546176,0.014575214648946655,0.11606562431395875,0.020796612673026096,2.6544202676077096e-8,0.005446026563691184,0.018789522998987285,0.7719602423289227,0.3194311,0.36831973246553407,0.11958211028225656,0.36637924863981824,Behaviour,total holepokes
vertical activity (rearing),Light-Dark Test,111,84,4.258397383634799,0.1547047526549823,0.19367523982719023,0.16941195941056228,4.0386826098835655,0.20440025413616095,0.14778882183992836,0.1766366702472856,0.21971477375164664,0.2506956346068807,0.3821405224044202,0.04588641798796591,0.24109151869244466,0.8492981458442586,0.6829218,0.7340028580884365,0.1151428392161316,0.3962936523366992,Behaviour,vertical activity (rearing)
whole arena average speed,Open Field,9384,9328,2.1529941151754124,0.18959575897754963,0.010339863057809661,0.012930774567664187,2.0615865531021758,0.1895895183321156,0.006812203586630228,0.012700945727617178,0.09140756179683766,0.005015956001240603,1.7987753155624605e-73,0.003527659468507598,0.004534997791765534,0.43665422516641506,0.18906981,0.17919807799365553,0.05422742627974719,0.9678864224338586,Behaviour,whole arena average speed
whole arena permanence,Open Field,9051,8998,7.090046177482796,2.5376620545338475e-5,-4.69691443260312e-6,7.970935067250497e-6,7.090057227683609,2.5438517685325122e-5,-7.791862435342716e-6,8.139951379870488e-6,-1.105019875875289e-5,1.0331155554831458e-5,0.284815892541092,3.0949488737428677e-6,8.453668983320312e-6,0.7142899841457835,3.327835e-4,3.9147598520070673e-4,0.010998579646587141,0.6361878139674921,Behaviour,whole arena
whole arena resting time,Open Field,9379,9323,5.767750240126356,0.23390476349226968,-0.023732016169695693,0.016119813970853793,5.790589023735001,0.23388777226455154,-0.038423057068447584,0.015852089543402254,-0.02283878313750472,0.00593698016050312,1.2009182574175785e-4,0.0146910408922491,0.005329174386261183,0.0058449167549365945,0.22273452,0.20729801128419512,0.027317635837464268,0.9717076515197497,Behaviour,whole arena
cone b-wave amplitude,Electroretinography,109,106,4.759945945363919,0.03553962642348957,-0.033452444077159825,0.036131756766258925,4.7927586847824,0.03714797769180107,-0.03827849652321088,0.03521011414958612,-0.032812739418597116,0.05023803810154075,0.5147572147139602,0.004826052446148359,0.05021769114221453,0.9235794948102867,0.18267885,0.2073645502245158,0.11266559036437894,0.3950129570459916,Eye,cone b-wave amplitude
cone b-wave amplitude-left,Electroretinography 2,88,90,4.736603724680901,0.06277365091708534,-0.016571844994293403,0.06431491520903233,4.754958406515473,0.0530980538737828,0.001073962762513371,0.052766617627707534,-0.018354681834668957,0.048761298252739414,0.7072435443415463,-0.01764580775690391,0.05013670771694869,0.7254655059162008,0.2341936038,0.1656132820127243,0.03522672577568086,0.27412355821575674,Eye,cone b-wave amplitude
cone b-wave amplitude-right,Electroretinography 2,88,90,4.679734984086714,0.03964653316302947,-0.016092964606329543,0.04001849671176705,4.694338642452421,0.04065443401724428,-0.043374333339958514,0.03967735090967068,-0.014603656614286975,0.039529666009732456,0.7124283359372925,0.027281370114333812,0.03851755719196744,0.4800876067312997,0.14107575,0.1846999038787596,0.16375120087458492,0.374525185648437,Eye,cone b-wave amplitude
cone b-wave implicit time,Electroretinography,109,106,3.8078483862903254,0.01156920876110231,0.0016493216327689996,0.011203153917355853,3.799660495113002,0.009918539798166082,-0.002578755143413996,0.008619807538652624,0.008187891177012446,0.013890231196584796,0.5565160792051769,0.004228076763233369,0.014063084401840746,0.7641366056352051,0.05352697,0.044040959658195954,0.07425197841264776,0.6683811625526127,Eye,cone b-wave implicit time
cone b-wave implicit time-left,Electroretinography 2,88,90,3.6994091850503628,0.009508458433037454,0.0077061188699273555,0.009494314006153337,3.6888560576522282,0.008091926056725467,-0.010038475809548052,0.007872488096174824,0.010553127435101355,0.007777611528285476,0.17727105713101002,0.01774459472061311,0.0074861196509691886,0.01930128973599422,0.03326225,0.02520824512367813,0.24592755346599002,0.5294324175473044,Eye,cone b-wave implicit time
cone b-wave implicit time-right,Electroretinography 2,88,90,3.701150850216134,0.0088202631482218255,0.008211878060756883,0.00875940134224212,3.6799317405631755,0.007726469575149817,-0.004973787809288138,0.007476400197168665,0.021219109652955915,0.007499148184872662,0.005432573493194376,0.013185665870042874,0.007134235923291783,0.06693337903844639,0.030423045,0.026267139199520294,0.29359407612531224,0.5841044500202626,Eye,cone b-wave implicit time
eye size,Electroretinography,109,106,1.1717767541515063,0.008333149950381018,0.005781649857258247,0.008087610226974145,1.185792043687768,0.006510049265259877,-0.00582234929865598,0.005551424689988201,-0.014015289536280147,0.009597148188841827,0.14648069127153027,0.011603999155914754,0.00977528556678831,0.23725221218396902,0.03925311,0.02719818173640441,0.17688707902202588,0.6729456660751079,Eye,eye size
eye size-left,Electroretinography 2,88,90,1.174113027506241,0.004877106285272475,0.0048224080795302845,0.004923574134307914,1.1804754398995216,0.004320536778229989,-1.4136335693829875e-4,0.004238039133820282,-0.0063624123932565415,0.004138694906552986,0.126747538438328,0.004963771436485345,0.0040616029056337035,0.22396132007145314,0.01742525,0.015388969899648683,0.28381457475166993,0.4725798802447968,Eye,eye size
eye size-right,Electroretinography 2,88,90,1.17283263010554,0.003395152769667481,0.0041316310913392116,0.003476209170985559,1.1787821273398682,0.003337360544419714,-0.0020137413618104465,0.003287806211438441,-0.0059494972339449274,0.0031433486470576243,0.06070675421588025,0.006145372453540849,0.0031667517357746896,0.054559158176779435,0.0126370225,0.014371566647218515,0.2898197856210422,0.41297115280886815,Eye,eye size
interpupillary distance,Electroretinography,197,196,2.438056456449317,0.008943493853108988,0.002442393075843554,0.0029902380104934495,2.4483881878527427,0.008777255529427017,0.004689309953107175,0.0022935510476370167,-0.01033173140386863,0.0037523988787625225,0.006306536897164692,-0.0022469168780481713,0.00363965903838609,0.5375388050611349,0.0220402621,0.020283008021978258,0.3114381465184405,0.6114449936495774,Eye,interpupillary distance
left anterior chamber depth,Eye Morphology,76,77,5.9362887175165016,0.016713927664523176,0.042764973372479226,0.017248377102752076,5.9306787406773145,0.013314853852892545,0.0070548400378014145,0.01296971331973713,0.0056099768391733055,0.014428683366209989,0.6988931567918721,0.03571013333474559,0.014886836145839872,0.019804914608574923,0.05063035,0.034137194605718256,0.379485818389649,0.6994702595224859,Eye,left anterior chamber depth
left corneal thickness,Eye Morphology,76,77,4.6367513253194,0.031942182177564116,0.030594824107434353,0.03302633996570256,4.591213754725834,0.024298592726366374,0.012354137337914841,0.023876064366314162,0.045537570593323515,0.02584169172079668,0.08349722808340454,0.01824068676942637,0.026965748547363076,0.5015463522851014,0.09937371,0.049762302719398445,0.12123877199754746,0.4994022566947856,Eye,corneal thickness
left inner nuclear layer,Eye Morphology,75,77,3.1922874663780902,0.04027083243629327,0.034377940137745755,0.041017952015187244,3.1566302454986173,0.038916071807007124,8.290122670097441e-4,0.03846087910817667,0.035657220879805766,0.029761144390646883,0.23591918816095864,0.03354892787115202,0.03008601597738941,0.2695700320814796,0.09307034712004332,0.10922568,0.10813214811449573,0.5139293852117799,Eye,inner nuclear layer
left outer nuclear layer,Eye Morphology,75,77,3.755347975666474,0.039531800210115306,-0.0411442640940969,0.02785113144259907,3.778473598055116,0.03621617444115968,0.014266449483389943,0.021347369395456964,-0.02312562241322684,0.026455219489975108,0.38577429714174205,-0.055410713606720875,0.026571128983448978,0.041605188722488806,0.058096712610717666,0.04937761,0.05669480751093334,0.9830571611174356,Eye,outer nuclear layer
left posterior chamber depth,Eye Morphology,75,77,6.296396717222216,0.008438720136358376,0.0017445714252897664,0.008394885202297838,6.293261408103604,0.006114142398460187,1.1129287143068294e-6,0.005187595332803578,0.0031353091186191303,0.008385970593422807,0.7099087585286712,0.001743458496580321,0.008591851320644163,0.8399330535863744,0.024401641077166077,0.014537175,0.027526674197330844,0.8827246739341301,Eye,posterior chamber depth
left total retinal thickness,Eye Morphology,1222,1261,5.4677120435803,0.041806723261719164,0.0032828428251737017,0.0021768513926403196,5.468194690390541,0.04178351500260351,-4.13040035102663e-4,0.0013826507707976918,-4.8264681297041645e-4,0.0022440718623014254,0.8297284020221729,0.00369588286955082,0.0022415999853289963,0.09934243456447905,0.0403133656941601,0.02597562,0.023738489688348158,0.9120030240950072,Eye,total retinal thickness
max left eye lens density,Eye Morphology,907,942,2.172308343301606,0.019522111726150773,0.016038575456879745,0.016921385828401945,2.1269957044062027,0.01811201254742228,0.02933434405672533,0.014385173177719991,0.04531263889541521,0.015005746386756958,0.002569512639284659,-0.013295768599816541,0.014614391542644387,0.36307653483301683,0.20689665655370643,0.18197539,0.07768427146473807,0.6307796737908734,Eye,max eye lens density
max right eye lens density,Eye Morphology,896,940,2.200296641326575,0.020683361985139665,0.015521807488783762,0.017962941189498028,2.162973257966678,0.019249217983772604,0.03277808203237979,0.015424634854485668,0.037323382428800685,0.01589484888071062,0.018986659376505313,-0.017256276575292915,0.01543583568266473,0.26375966947417195,0.216115171393162,0.19476959,0.075821183091386,0.6280351600208395,Eye,max eye lens density
mean left eye lens density,Eye Morphology,907,942,1.8604778547162708,0.013989137339025652,0.01656425291195051,0.011410896059175096,1.8361623080072513,0.013286039215966598,0.02837493606846093,0.00996901487870696,0.024315546709011846,0.010102279164935,0.01619708161521408,-0.011810683156536841,0.009759389846795235,0.22638199909321155,0.1348207149302421,0.12598029,0.09895289066067137,0.6982171422525315,Eye,mean eye lens density
mean right eye lens density,Eye Morphology,896,940,1.910977627594848,0.014422205548607873,0.020203789050883623,0.011165481284859786,1.8805606467353297,0.013906169067659766,0.02910808231911338,0.009998422319199243,0.03041698081326008,0.009852438499753554,0.0020543227859943797,-0.00890429328116118,0.00944387150671393,0.34589034006574404,0.1269518050272932,0.126033395,0.100187021791802,0.7412177868331727,Eye,mean eye lens density
min left eye lens density,Eye Morphology,907,942,1.5802400535491297,0.009955813327698572,0.004172930485861702,0.008714431394888318,1.5672764609681717,0.00937239251925069,0.01390521462972544,0.007611258665163588,0.012963592714933124,0.007671748824131701,0.09125983384219354,-0.00973228392038833,0.007440632952050388,0.19105986552161805,0.10325266998063537,0.096664881,0.06399177696002516,0.616710822089761,Eye,min eye lens density
min right eye lens density,Eye Morphology,896,940,1.62559003319931,0.010494458685605019,0.0033710679756018174,0.008891926798352877,1.620205507010763,0.00988966485563059,0.01172665683493908,0.007754053728601193,0.005384526307115318,0.007856364330443052,0.4932074914922989,-0.008355588640877347,0.007597127945318469,0.2715669434498196,0.10492635627237558,0.097891508,0.05504210945892091,0.6550367356898497,Eye,min eye lens density
right anterior chamber depth,Eye Morphology,74,76,5.886404147522526,0.09399584339358714,0.04545712301280351,0.09721337793295812,5.908817096802598,0.06624302185103371,8.085156742341776e-4,0.0663662123134618,-0.022412949280427422,0.06789731955476648,0.7425779871608476,0.0446486073383875,0.07204371115519687,0.5379859543327896,0.30121211,0.04455315991005813,0.1516148324410555,0.3280282759288652,Eye,anterior chamber depth
right corneal thickness,Eye Morphology,75,76,4.5934361868888836,0.032696565929833145,0.01063081063039031,0.03326404745229191,4.622985181645736,0.05149838239592638,-0.005019113196260153,0.04900230828315634,-0.029548994756737213,0.05431155885087701,0.5885567926528424,0.01564992382689341,0.052665729257094604,0.7674471019841769,0.08537303,0.26404777170683985,0.08766352348306058,0.41519091872263403,Eye,corneal thickness
right inner nuclear layer,Eye Morphology,71,75,3.1851589899168764,0.0415651325059478,0.0029792380937184214,0.04243556375389559,3.1515565706853597,0.03443531663966034,-0.012246217390590735,0.03389396830207256,0.03360241923125518,0.03479255714834553,0.33853401479186107,0.015225455484035961,0.03540619332247131,0.6689228247133747,0.11657447670035488,0.09249173,0.16578533854777563,0.6499985523042262,Eye,inner nuclear layer
right outer nuclear layer,Eye Morphology,71,75,3.8366986827209413,0.041185371991583675,0.027641583715325768,0.030845596154773534,3.7885439199043347,0.038653753161688766,0.01335420556084522,0.027251251899737122,0.04815476281658898,0.028933012065893448,0.10194382257823315,0.014287378154467699,0.027991645671235042,0.6118795599547916,0.05010080778361655,0.06477236,0.05138442065954695,0.9781193044670448,Eye,outer nuclear layer
right posterior chamber depth,Eye Morphology,72,75,6.288720791506341,0.009348472741399156,-0.005860776446367901,0.009479411803335794,6.296554092671114,0.007958496517153609,-0.00619945940014264,0.007619133636404262,-0.007833301164769123,0.009145807126929159,0.395582291544343,3.3868295376717817e-4,0.009146811844103202,0.9706022483526693,0.02526616468322944,0.025089075,0.11052651055584511,0.6829919744286389,Eye,posterior chamber depth
right total retinal thickness,Eye Morphology,1200,1250,5.471481643815583,0.04048287858534503,0.004169572933953729,0.003197256466175168,5.471982441655739,0.04046990325427308,0.0023536917763859436,0.0028776528168654035,-5.007978342632775e-4,0.002178923034399534,0.818240598607374,0.0018158811225939642,0.00214825132986676,0.3980490768089546,0.03599437328231189,0.02964959,0.043598283746563965,0.9101588488545268,Eye,total retinal thickness
rod a-wave amplitude,Electroretinography,108,106,5.031610290561697,0.06352318128078838,0.036548629300997476,0.06331136397479488,4.466009227716335,0.09503393656166075,0.22694190432788672,0.09052907327987601,0.5656010628453305,0.11144316350743164,1.246876639321207e-6,-0.19039327502698886,0.10989539410555083,0.08545237853328923,0.30408,0.5446974954032913,0.39092382951772187,0.5887972655114017,Eye,rod a-wave amplitude
rod a-wave amplitude-left,Electroretinography 2,88,89,4.211520071536088,0.21975744870437885,-0.25039095490010577,0.22462095103338292,4.4483796704628045,0.1697710549148721,0.02676133343371708,0.1692579374346042,-0.23685959890349767,0.15455180876671992,0.12793221398063326,-0.2771522883121063,0.15921174343240765,0.08420299949425714,0.8100048,0.2819803770574632,0.18291229219952237,0.32459745950649527,Eye,rod a-wave amplitude
rod a-wave amplitude-right,Electroretinography 2,88,88,4.422310831016326,0.08127674708931328,-0.05130028259676603,0.0832135554462251,4.402232797971629,0.08240876575813327,0.01913385932335673,0.08070118140204098,0.020078033046332718,0.07778635803110905,0.7967474877792535,-0.07043414191801857,0.07757697082188555,0.36569279421949863,0.29985823,0.3616463149559145,0.0905465899686883,0.3260972635231386,Eye,rod a-wave amplitude
rod a-wave implicit time,Electroretinography,109,106,2.879502552128643,0.01251329324303597,0.008084567739775634,0.012861615428689478,2.811192229794533,0.010609820135565924,-0.002179878169917935,0.010118733179965141,0.06831032235576386,0.016177328152180006,4.374971891281836e-5,0.010264445943426716,0.01631179176467067,0.5302232426562554,0.06712678,0.06005331141905635,0.4326568235639478,0.5087557864269276,Eye,rod a-wave implicit time
rod a-wave implicit time-left,Electroretinography 2,86,90,3.085551098262552,0.014737512375632332,-0.007225179395276893,0.014860474556509976,3.0445856911145732,0.013083593128005116,-0.0123393955650162,0.012874456240416787,0.04096540714524594,0.012621676674580267,0.0015098418130020095,0.005114216168378628,0.012451553574102044,0.681985784049423,0.0521901,0.04788813346631474,0.4656807698826789,0.5839650479151969,Eye,rod a-wave implicit time
rod a-wave implicit time-right,Electroretinography 2,87,90,3.095637269595703,0.01420911641115745,5.169424232714276e-4,0.014412293401059158,3.0442628545436317,0.013162769022846873,-0.00907023926098728,0.012967187823037272,0.05137441505172383,0.01254620449069803,7.564708689434601e-5,0.009587181683990195,0.012463009726876728,0.4432071754388568,0.05146023,0.05202030045546553,0.46827900294570407,0.5622055007351593,Eye,rod a-wave implicit time
rod b-wave amplitude,Electroretinography,109,106,5.992536583804212,0.04311163595751495,-0.04109732010784028,0.04221668405838559,6.201944928615044,0.04478244874164509,-0.04439058836504184,0.040748557657065324,-0.20940834454160487,0.05829605214559702,4.5613505039324116e-4,0.0032932679604400265,0.05826868182887198,0.9550109746812103,0.1992254,0.22604290203819097,0.27628405438024883,0.6140758792656736,Eye,rod b-wave amplitude
rod b-wave amplitude-left,Electroretinography 2,88,90,6.004353784638887,0.06391261513336415,-0.03467551578751936,0.06452231640519947,6.0924437012348935,0.054242753853333735,-0.023922406860245434,0.053297424165418876,-0.08808991659573998,0.05158689145443028,0.09019259880280012,-0.010753108927024241,0.05080016399648058,0.8327055760844247,0.22884478,0.17009851470883564,0.12622517457648424,0.45025646659709695,Eye,rod b-wave amplitude
rod b-wave amplitude-right,Electroretinography 2,88,90,5.992794531502092,0.04166434599714582,-0.046083572466346964,0.04268733796809577,6.082895416712141,0.039805270752362676,-0.04649079335472139,0.039282746999345426,-0.09010088521029651,0.03728078967676455,0.01710131998721364,4.072208880807665e-4,0.0377347902029748,0.9914068757437695,0.1554400344,0.16441459571636474,0.1885855763614713,0.3269960297442077,Eye,rod b-wave amplitude
rod b-wave implicit time,Electroretinography,109,106,3.8152661662919756,0.01423850748067552,-0.011362147773791338,0.013563272356934242,3.813412319359899,0.012934758206800782,-0.016256629988002678,0.011117221121177568,0.0018538471651339682,0.017271470892037476,0.9146796103020401,0.004894482320861709,0.017433241405641123,0.7793213084044244,0.06341142,0.057116823838957935,0.17784868075129184,0.687495771265771,Eye,rod b-wave implicit time
rod b-wave implicit time-left,Electroretinography 2,87,90,3.952450090658096,0.011903515609972664,0.0031417046811723403,0.012068274454098216,3.9269220152922757,0.010690460327051617,-0.008211247331283249,0.010541845310450779,0.02552807536576394,0.010161781448857288,0.013283491404424471,0.011352952012439242,0.010104135015527975,0.26335561145247544,0.043070315,0.03969965933879852,0.32583168028261067,0.47472252782839497,Eye,rod b-wave implicit time
rod b-wave implicit time-right,Electroretinography 2,87,90,3.9272395786647962,0.018409953894090475,-0.019271777890993703,0.01880612025784281,3.9233359574471507,0.015662840105977637,-0.00466732483606605,0.01556198393957062,0.0039036211335510083,0.014478757793040411,0.7879082778710169,-0.014604453125470401,0.014789484677576402,0.32532593882661687,0.068181062,0.05023223216564163,0.21442752778914206,0.3710464225795774,Eye,rod b-wave implicit time
% pre-pulse inhibition - global,Acoustic Startle and Pre-pulse Inhibition (PPI),8612,8634,5.274603518549644,0.014723531863428554,-0.00504816263664213,0.0023239724342947474,5.279796834324119,0.014702280709902996,-0.0030177418121380877,0.0020361788179983076,-0.005193315773295922,0.0025181458236748534,0.03919135542386596,-0.002030420836950485,0.0023252967258785367,0.38257501867575827,0.098634259,0.08991578249052334,0.023892601411190338,0.5791337976401965,Hearing,pre-pulse inhibition
% pre-pulse inhibition - ppi1,Acoustic Startle and Pre-pulse Inhibition (PPI),8611,8635,5.921163334874646,0.010514958569750743,-0.001937607939424766,0.0015848596687793573,5.919382679272245,0.0105328126237238,-0.0010930356216139212,0.0016147520359532685,0.001780655584524813,0.0018761500653058684,0.34258499666454945,-8.445722641189185e-4,0.0017397731009501497,0.627364675177638,0.0652632092,0.07928104566001401,0.026287956955362804,0.5394702502629994,Hearing,pre-pulse inhibition
% pre-pulse inhibition - ppi2,Acoustic Startle and Pre-pulse Inhibition (PPI),8612,8634,5.535922511297189,0.01018613741914571,-0.002633018374215281,0.0020021622204131908,5.537393703779482,0.010177393526389173,-0.0030368401002081958,0.001853859379246009,-0.0014711924847562758,0.0022185913433737086,0.5072640857963573,4.0382172529663943e-4,0.0020495643540330137,0.8438083001442108,0.083038329,0.08442974629020987,0.024445242856130884,0.49978023470784466,Hearing,pre-pulse inhibition
% pre-pulse inhibition - ppi3,Acoustic Startle and Pre-pulse Inhibition (PPI),8611,8635,5.675936850895251,0.00839452692968402,-0.0034786601499556848,0.0014450552947258585,5.681394929156735,0.008391874310683741,-0.002166305399204771,0.0013453637491210465,-0.005458078167123175,0.0015996200347366766,6.463662153506346e-4,-0.0013123547183334112,0.0014779991488603661,0.3745948353615347,0.059670463,0.060999730765241046,0.029093168872957573,0.5399939723905401,Hearing,pre-pulse inhibition
% pre-pulse inhibition - ppi4,Acoustic Startle and Pre-pulse Inhibition (PPI),4200,4252,4.986800741342551,0.019675260170961575,-0.004434498094765408,0.00393066865004722,5.003110305675938,0.019604885572570323,-0.0029153317325740996,0.003550449205963825,-0.01630956413976552,0.004289790510186454,1.4473044677463587e-4,-0.001519166446529128,0.0038963972845255943,0.6966292287026858,0.115899,0.10759251435264931,0.045711859708224195,0.537937492387666,Hearing,pre-pulse inhibition
12khz-evoked abr threshold,Auditory Brain Stem Response,3560,3763,3.498442018966697,0.10589372330999157,0.0010173025714270158,0.007314961923305334,3.490671797056309,0.10593129498260609,0.009977358860725325,0.007265570222529574,0.007770221975859951,0.008570255686318714,0.36463454103754556,-0.00896005627381044,0.007386999767068094,0.22520508362002184,0.19322563655465083,0.2242375,0.010578640355905352,0.9129282248383537,Hearing,abr threshold
18khz-evoked abr threshold,Auditory Brain Stem Response,3561,3758,3.434338599157563,0.08075631306314798,0.002979346673577506,0.007994959346419719,3.3965809841967833,0.08080957298254772,0.010295235541048987,0.008009152809094006,0.03775761496035089,0.00848364200829909,8.743173975515186e-6,-0.007315888867606928,0.007497759265991821,0.3292377178445153,0.19326222357206183,0.226348257,0.037382797984251745,0.8653808329403105,Hearing,abr threshold
24khz-evoked abr threshold,Auditory Brain Stem Response,3539,3751,3.5630273348543624,0.05278091306170504,-0.009936599772099675,0.012522310947674926,3.5192374274017784,0.05285057485203219,0.008264487360705458,0.012371042999330615,0.04378990746968463,0.008907747294917336,9.113273206214617e-7,-0.01820108716538029,0.008429259348561927,0.03087538928601389,0.20850473031063127,0.2361251134,0.07056918896516841,0.755578204990723,Hearing,abr threshold
30khz-evoked abr threshold,Auditory Brain Stem Response,3391,3648,3.908495247542414,0.04487759592684979,-0.011394382550483157,0.01092348093996895,3.8521335524675755,0.044939914963092964,1.8858596635352873e-4,0.010584531517615221,0.056361672887844154,0.009799995598282667,9.404085097874277e-9,-0.011582572737117026,0.009031380155150188,0.1997352089371839,0.2362465168279015,0.24812536,0.09845436033005284,0.6843920836329398,Hearing,abr threshold
6khz-evoked abr threshold,Auditory Brain Stem Response,3556,3764,3.851307712869615,0.08419678437477668,-0.010529653201207584,0.00555342444473236,3.867229713773869,0.08421766389495523,-0.0013144345620272472,0.0054865780504487,-0.015922000894466246,0.005845953671887632,0.006479485380593025,-0.009215218632799428,0.005134789198152823,0.07276626499800501,0.12665876185297417,0.148759485,0.01724384310860053,0.9395629473093345,Hearing,abr threshold
click-evoked abr threshold,Auditory Brain Stem Response,2158,2367,3.110516537067911,0.13560637852138205,-0.006987582742198154,0.008369595408570407,3.104630966884286,0.135612671223717,-0.013765646787556417,0.008319139768211102,0.00588557018030041,0.008335869907443744,0.48021105555716803,0.00677806405923224,0.00791316015428407,0.39176048237429073,0.14502080932433978,0.1564655292,0.027836638416901226,0.9479668264992691,Hearing,abr threshold
response amplitude - bn,Acoustic Startle and Pre-pulse Inhibition (PPI),8690,8697,2.283109513230938,0.44719973666798474,0.07123388676148006,0.01930525204674736,2.277306058312386,0.44716990593298034,0.08801207800340342,0.017654699783993245,0.005803454800431195,0.016220795321418572,0.7205140656922215,-0.01677819108940645,0.015384079573154002,0.2754577714295388,0.65516509,0.5929820564478695,0.040044397437743365,0.9474249315472196,Hearing,response amplitude
