parameter_name,f_n,m_n,f_intercept,f_intercept_se,f_slope,f_slope_se,m_intercept,m_intercept_se,m_slope,m_slope_se,fm_diff_int,fm_diff_int_se,fm_diff_int_p,fm_diff_slope,fm_diff_slope_se,fm_diff_slope_p,group_sd,g_slope_sd,batch_sd,f_sd,m_sd,Category,parameter_group
right total retinal thickness,1259,1311,-1.34863772526616,0.394570297022976,0.660271524254723,0.335575667761869,-1.33569135401872,0.394296667547054,0.498026321934896,0.273185937426504,-0.0129463708606786,0.0268666715790647,0.629943113081597,0.162245206077829,0.309081477500826,0.599687135794597,1.074851,0.4131656,0.3524965,0.708193846531799,0.5851462,Eye,total retinal thickness
right vitreous humor thickness,39,48,-0.36437634274105,0.283256153937133,-3.68702430542673,2.92462734539333,0.0433932147662524,0.2778976178471,2.67312498932135,2.80746153731888,-0.407769557577565,0.198508724739257,0.043806380390275,-6.36014929498741,2.95400323357411,0.034864004723857,0.2994511,2.2886414,0.2704524,0.8619078,0.96519450019406,Eye,vitreous humor thickness
rod a-wave implicit time-left,91,95,1.34609841567265,0.991755667526075,-3.57416956442449,3.13897821645671,0.454563683721776,0.991572930398174,-4.00369698887597,3.04243316026003,0.891534810945397,0.117812169600243,6.37054826526487e-12,0.429526690184826,1.27850551586678,0.737446863163212,1.3676373,4.0105687,0.2898558,0.827663190270948,0.7712431,Eye,rod a-wave implicit time
rod a-wave implicit time-right,91,95,1.17676986669704,0.798407504893537,-2.14083521463105,2.58584845113578,0.258230307960492,0.798100118826135,-2.90304409534117,2.49551620069798,0.918539559025323,0.123131082754936,1.12841965915797e-11,0.762208879624469,1.30439619803265,0.560013121408779,1.0787246,3.0951048,0.2335873,0.825311160840222,0.8509056,Eye,rod a-wave implicit time
rod b-wave amplitude-left,93,95,-1.36272891771396,1.3609704995646,5.67540249391881,7.19990608390117,-1.15903430043889,1.36120888195057,5.98831415257167,7.13912113088728,-0.203694616896559,0.130006382022975,0.119572776947131,-0.31291166316728,1.42186905508454,0.826158702699067,1.8753355,9.7508594,0.3636538,0.945112238095514,0.8250712,Eye,rod b-wave amplitude
rod b-wave amplitude-right,93,95,-1.3542326617127,1.42568915201252,3.27539224885586,5.22496489006124,-1.23504362701728,1.4271325958377,3.40830898158963,5.20616531010054,-0.119189034536219,0.130103660625145,0.3612934861105,-0.132916733850743,1.34053427965408,0.921169105146443,1.992250447,7.132176678,0.005174012,0.812903421,0.965328356527659,Eye,rod b-wave amplitude
rod b-wave implicit time-left,92,95,1.21205271641384,1.01016908275475,-2.8188216806976,3.644545206152,0.598903464423505,1.01005209088064,-4.32949741217339,3.54702661310313,0.613149251856889,0.128368172179389,4.73786051053482e-06,1.51067573192506,1.38284060549798,0.276658417137686,1.3868896,4.6804389,0.2687653,0.910418157838941,0.8376059,Eye,rod b-wave implicit time
rod b-wave implicit time-right,92,95,0.613498868909463,0.576639347418323,-3.42373801434209,2.03970122165102,0.295607386681363,0.572377351683218,-1.56109266925933,1.71704257382636,0.317891482095502,0.14192561593381,0.0267994078214824,-1.86264534404971,1.54343036517333,0.229692209612419,0.753518,1.8827486,0.1445668,1.09320867760728,0.8224173,Eye,rod b-wave implicit time
12khz-evoked abr threshold,3779,3936,0.104749212648999,0.181134828029856,0.0396512571520777,0.112109102909443,0.100665549782434,0.181175091474793,0.169871598559849,0.110242115790374,0.00408366286665603,0.0115397986938283,0.723445354745633,-0.130220341437273,0.106842623026029,0.222971596581443,0.8762952,0.2468695,0.3392855,0.435099935177,0.5026829,Hearing,abr threshold
18khz-evoked abr threshold,3796,3989,0.102457213004909,0.145450764829104,0.0812000878815336,0.117272173708341,0.0354549495287018,0.145628420420253,0.165429853347262,0.125923555504106,0.0670022634768531,0.0133526050324534,5.38985310570658e-07,-0.0842297654917785,0.122356629775914,0.491233080568459,0.6983021,0.2376083,0.3410621,0.444593285464083,0.6417833,Hearing,abr threshold
24khz-evoked abr threshold,3774,3982,0.0982351909556807,0.120565217441539,-0.012121326339894,0.219817270258508,0.000489217893602698,0.120709390826252,0.144192872257798,0.217248885671945,0.0977459730663333,0.0159872451616705,1.03977687552514e-09,-0.156314198611786,0.148137333565893,0.291382011178587,0.5696954,0.7346062,0.3691835,0.615147862765171,0.6935027,Hearing,abr threshold
30khz-evoked abr threshold,3623,3878,0.199349803755636,0.109622772954232,-0.0635913831997093,0.200317208352566,0.0223411972988654,0.109697779477971,0.031037488177836,0.193011980395035,0.177008606481419,0.0181444777690851,2.71952232440414e-22,-0.0946288714611377,0.167545790855371,0.572238373612678,0.5120139,0.5274665,0.3880781,0.717136507371657,0.7552082,Hearing,abr threshold
6khz-evoked abr threshold,3772,3918,-0.0980881515800759,0.204221309281035,-0.110609814175701,0.0944491933576605,-0.0629952805588512,0.204267609283135,0.0107110023295224,0.0955390171398237,-0.035092871044758,0.0106172971118704,0.000955128640955723,-0.121320816321034,0.0978710155602869,0.215177927138939,0.9904706,0.1532089,0.3672165,0.37650500945329,0.475946,Hearing,abr threshold
click-evoked abr threshold,2282,2497,-0.501888044526356,0.251052579923876,-0.265861730462886,0.115975988976047,-0.556648635576665,0.25105835611475,-0.428068828687376,0.117361070701476,0.0547605906224086,0.0114531431005494,1.82332187239748e-06,0.162207101448028,0.12733448015078,0.202806582471132,0.9613354,0.217743,0.3114901,0.337063556225,0.3657131,Hearing,abr threshold
response amplitude - bn,8791,8814,-0.0395722107590656,0.217991228208103,0.334343020816073,0.0573360552314164,0.0255411129352453,0.217990724697148,0.331720813531554,0.0560689942260957,-0.0651133236987048,0.00389852394082939,4.62862207646617e-62,0.00262220723076492,0.0382733107160273,0.945378440985957,1.0658763,0.1890402,0.0782861,0.2389342,0.244012070327789,Hearing,response amplitude
response amplitude - pp1,8762,8801,-0.0354620089033506,0.218525276909933,0.343096752668911,0.0629138612095206,0.0261510059497781,0.218524488854772,0.345581449434489,0.0613680672471934,-0.0616130148144266,0.0043771170686787,1.02959043600576e-44,-0.00248469651030671,0.0429150759346124,0.953830663348906,1.0679446,0.20343976,0.09308306,0.267533088946558,0.27183656,Hearing,response amplitude
response amplitude - pp1_s,8762,8781,-0.139762473431081,0.201475853245713,0.0977760060902232,0.110386497252474,0.027714408668926,0.201475010353784,0.173779699422292,0.109255805647237,-0.167476882117354,0.00510685718871749,7.96579446619757e-228,-0.0760036933443474,0.0496794216125742,0.126066950954591,0.9823838,0.4643186,0.1400077,0.305072490356337,0.309811,Hearing,response amplitude
response amplitude - pp2,8836,8841,-0.0683837210011529,0.216456906174165,0.276972403545474,0.0462731655960399,-0.0331543980057673,0.216457798857661,0.259700814624911,0.0456366056679565,-0.0352293230619241,0.00347176308322885,4.07174316993509e-24,0.0172715887942072,0.0338566544613154,0.609961816487366,1.05855873,0.14574681,0.08653237,0.20375164,0.219834813732606,Hearing,response amplitude
response amplitude - pp2_s,8762,8781,-0.128634580350418,0.200846210405193,0.143860836677037,0.108999471823121,0.0321692275988109,0.200845081754498,0.210476874984425,0.107580920209109,-0.160803807995634,0.00559858732299481,1.24715481110787e-176,-0.0666160385619966,0.0544436974458099,0.22113129607935,0.9783892,0.4431851,0.1569112,0.334481407035982,0.3386211,Hearing,response amplitude
response amplitude - pp3,8837,8843,-0.0505116437573509,0.219878467994108,0.161510582065535,0.0544685210531581,-0.0113818203729179,0.219879856792594,0.265552993174557,0.0540469910211419,-0.0391298233999837,0.00369702299811768,4.36226224966041e-26,-0.104042411179411,0.0359565524703684,0.00381450705676465,1.07505492,0.18067673,0.09621656,0.213825278884515,0.23477632,Hearing,response amplitude
response amplitude - pp3_s,8763,8781,-0.138302537986786,0.201971376153432,0.237044815033912,0.0998464068417903,0.000586268263942378,0.201971245764878,0.235986191511931,0.0986034059121246,-0.138888806256769,0.00543214023785042,3.73786406452299e-141,0.00105862348077241,0.0528421015695221,0.98401674715326,0.9844068,0.3914108,0.1457407,0.3226505,0.332525063141948,Hearing,response amplitude
response amplitude - pp4,4300,4346,-0.0230584402574424,0.226918587420246,0.0129115076250786,0.0520493683158629,0.000995939168495422,0.226919397272971,0.0511719272596146,0.0517071253011274,-0.0240543794119491,0.00363339806472172,3.83059515266925e-11,-0.0382604196289186,0.0363987439494782,0.293225102644253,0.93427939,0.13198509,0.05623545,0.144919726838499,0.15931364,Hearing,response amplitude
response amplitude - pp4_s,4300,4346,-0.049327819132946,0.216480946285643,0.0894275927230002,0.106135527060111,0.0389863622208988,0.216481146628255,0.138741837523386,0.105421851828072,-0.0883141813107283,0.00522756947527604,7.18858780512212e-63,-0.0493142447814279,0.0516394276982663,0.339622286979548,0.8892862,0.3409491,0.1001088,0.205777422885834,0.2193641,Hearing,response amplitude
response amplitude - s,8764,8783,-0.141303936463286,0.210660918478517,0.0886712127517102,0.114633231126004,0.0318319220083597,0.210659115424412,0.139355513874847,0.113446110435739,-0.173135858473607,0.00489795427608234,6.42913323864844e-263,-0.0506843011145102,0.0477729587773012,0.288733794634025,1.0280619,0.4913766,0.1261673,0.297242777825627,0.2955444,Hearing,response amplitude
cardiac output,3035,2033,0.0575069632666759,0.288912302067676,2.44201342250731,0.219758969683235,0.41242989226174,0.289285738003732,2.7726764654561,0.230587350271002,-0.354922928972051,0.0289131857522767,4.72732240549878e-34,-0.330663042761233,0.30839732088813,0.28369316853537,0.4986942,0.016766,0.4362802,0.807895161133395,0.8340178,Heart,cardiac output
cv,4410,4402,0.315533809975177,0.195115414827435,-0.967550101021916,0.24843432840768,0.0358476402830256,0.195150253334787,-0.530054152116573,0.241783032046016,0.279686169717392,0.0187752959413127,1.68356186337576e-49,-0.437495949596563,0.183622599621501,0.0172157440134662,0.4805444,0.4470678,0.4576159,0.8246244,0.838285360484268,Heart,cv
ejection fraction,3168,2178,-0.261795193465293,0.566671780594458,-0.285203113205542,0.117771124549577,-0.295868942361499,0.566687480568042,-0.224365133952467,0.109440338212891,0.0340737488953383,0.0130864275772089,0.00925232149997615,-0.0608379793044825,0.140165531348417,0.664278099653809,0.98128586,0.08136039,0.22580131,0.410183595776168,0.36074566,Heart,ejection fraction
end-diastolic diameter,1630,631,-0.198802776381348,0.155832987305649,3.37988182047337,0.550338448715323,0.36256118732767,0.159781379909353,4.69384210612783,0.673478725406568,-0.561363963709914,0.0514025815819727,6.28546874090593e-27,-1.31396028565206,0.547244867152823,0.016449275518731,0.2159217,0.6626862,0.3870647,0.7060311,0.963907478702585,Heart,end-diastolic diameter
end-systolic diameter,1630,631,-0.210620245664746,0.319213003321621,2.00617796203494,0.3863206948171,0.157455606741772,0.321176393900538,2.996456110417,0.544274342687824,-0.368075852416438,0.0514640949483761,1.23852169175031e-12,-0.990278148482812,0.545147633826688,0.0694552404421971,0.4492186,0.3620745,0.412935,0.7323104,0.948355604310277,Heart,end-systolic diameter
fractional shortening,3198,2210,-0.259333534080906,0.410705740433059,-0.30344902996622,0.126515242592457,-0.298326435483757,0.410717085304815,-0.247013431145058,0.124005245127696,0.0389929013888885,0.0127027475445274,0.00215614388841324,-0.0564355988681407,0.134949436413111,0.675822582187856,0.8134635,0.1418838,0.2137391,0.3912234,0.366027598544867,Heart,fractional shortening
hr,9716,8674,-0.650379312024291,0.359099719267243,0.340675309132603,0.11092340776086,-0.618270501954263,0.359097674019152,0.346337066787774,0.109180014625625,-0.0321088101675846,0.00569389040422598,1.73842669927506e-08,-0.00566175701419695,0.0555346484001181,0.918797681506071,1.3410982,0.3540572,0.1955228,0.3645891,0.332301646951427,Heart,hr
hrv,4059,4044,0.446866942266405,0.143229931871887,-0.931745877139184,0.183417103062923,0.158505075884667,0.143292380415513,-0.586335478534325,0.171265187354541,0.288361866532707,0.0201218808304157,6.06269140598324e-46,-0.345410399365903,0.19925293568364,0.0830451142974111,0.3074732,0.1415344,0.4449615,0.8407597,0.866014606715826,Heart,hrv
lvawd,1778,794,0.323851782720582,0.40676867494563,1.87411297590608,0.370567905091246,0.445013243306493,0.406979079602689,2.13521248685421,0.412949400629556,-0.121161463302139,0.0401038048426317,0.00254920581754418,-0.261099503401689,0.399753387921707,0.513732577288566,0.6626535,0.3994507,0.3922019,0.7745153,0.754218168439595,Heart,lvawd
lvaws,1748,762,0.280846841103615,0.599203836050829,1.95842459963594,0.467575864656167,0.280380271321551,0.599592012307735,1.09080227277522,0.511433478449533,0.000466569769126235,0.0411285893429257,0.990950002940623,0.867622326718848,0.41835406083259,0.0382186559209689,0.8461848,0.5332601,0.4542149,0.7418922,0.756324582745529,Heart,lvaws
lvidd,3197,2210,0.396428465854171,0.442448873919739,1.19204198685839,0.115689874146479,0.545055233037523,0.442492140718867,1.01359225767979,0.126691705246796,-0.148626767171154,0.0134815311783558,6.70297253602875e-28,0.178449729465172,0.143049397714338,0.212291536383293,0.8782823,0.1137875,0.1936344,0.379985942066599,0.4350999,Heart,lvidd
lvids,3197,2210,0.353071870855292,0.437421005592119,0.731089510472166,0.145731815954905,0.476045487032466,0.437456689324014,0.708666589647217,0.152042836320442,-0.122973616176984,0.0129942639537091,4.69701410069004e-21,0.0224229208830371,0.137504315133662,0.870470243685193,0.8681055,0.2141308,0.2004695,0.370371,0.409147995551361,Heart,lvids
lvpwd,3197,2210,0.668110060615066,0.560659301874775,1.23210740429083,0.484051402766067,0.799907752130745,0.560668034482489,1.70517217730726,0.482613560289963,-0.131797691394572,0.0165532856807221,2.13464159709244e-15,-0.473064772937527,0.172852284966203,0.00622850630363999,1.1009815,0.9132574,0.3902211,0.488380494162294,0.4560004,Heart,lvpwd
lvpws,3167,2178,0.393212905040744,0.661070821353567,0.605663068795209,0.241911459627171,0.46977006970255,0.661078237563523,0.704942816479918,0.238472907639914,-0.0765571646617135,0.0108869582046201,2.3527558737083e-12,-0.099279747660761,0.115571875669756,0.39037098072004,1.1448495,0.3887438,0.2294125,0.336695617275573,0.2871779,Heart,lvpws
mean r amplitude,4561,4532,-0.406725815130041,0.484403044345939,0.743638770312936,0.226025851623319,-0.536688118545301,0.484409754201322,1.20517754058861,0.21858473658054,0.129962303644568,0.016978698140196,2.16681314830804e-14,-0.461538773570204,0.168278375025655,0.00610692620005354,1.1802941,0.3200941,0.5742245,0.7426585,0.771022102501283,Heart,mean r amplitude
mean sr amplitude,4055,4042,-0.370721274262141,0.511248079351276,0.817216705716161,0.331626225580972,-0.513524743281845,0.511290320368496,1.10169466084062,0.324570455801194,0.142803460700853,0.0186842302160652,2.39967053585843e-14,-0.28447792235243,0.184216831206588,0.122570664854275,1.2203681,0.5056137,0.5847056,0.7602408,0.800113360852848,Heart,mean sr amplitude
pnn5(6>ms),1294,902,0.0471974148865847,0.0899046863501855,-1.37024708035144,0.357587039676782,-0.165532304115392,0.0914965296423555,-0.478211693257454,0.356715726740068,0.212729719996833,0.0405697980905889,1.79859451611182e-07,-0.892035396849358,0.438390554207944,0.0420458914927831,0.1635255,0.2927286,0.3933866,0.8837037,0.893302369317049,Heart,pnn5(6>ms)
pq,4059,4044,-0.284333472293109,0.183424467622673,-0.814856357011056,0.421888339685563,-0.272667937561542,0.183393222472079,-0.0606638249704229,0.409071410138914,-0.0116655345695387,0.0219542523574007,0.595188274150535,-0.754192533706947,0.21914496421559,0.00058175975632273,0.4176967,0.7894907,0.2488224,0.9864289,0.927067605489441,Heart,pq
pr,6520,6465,0.948080961809711,0.594009205260246,-0.018032117125609,0.100005709737685,0.908239752140761,0.594004153639564,0.229629313102875,0.0914639679009675,0.0398412096621843,0.0114806283237718,0.000521848626739862,-0.247661430252031,0.109560553248235,0.0238095687144132,1.8761151,0.08769768,0.20573003,0.6447156,0.613227298653465,Heart,pr
qrs,6518,6464,0.446174787103939,0.38665774255886,-0.293519791936433,0.219957934585007,0.372570798672002,0.386663228669303,-0.105370771457769,0.219096726773093,0.0736039882441754,0.0126420871008856,5.97038501966472e-09,-0.18814902360221,0.119333593683062,0.114901181187408,1.2139595,0.5273418,0.4205163,0.6547269,0.687997357642307,Heart,qrs
qtc,5322,5267,0.843138225676627,0.509676412089457,-0.123599394415144,0.116878684256677,0.839461212712246,0.509675577052659,0.0424748609676396,0.116037975697108,0.00367701281429179,0.00499454743617056,0.46162428038985,-0.166074256850408,0.0487778679538788,0.000665155305972478,1.6090697,0.2810516,0.2799187,0.2337817,0.231103202050034,Heart,qtc
qtc dispersion,4557,4529,-0.0621064575944283,0.428828235344888,-0.391125840566619,0.259664135329743,-0.0561217960121815,0.428821185938429,-0.461990689538438,0.252692408686444,-0.00598466158617177,0.0134612541761137,0.656632195818609,0.0708648489872221,0.134774991980565,0.599040856757405,1.0481341,0.5086045,0.1726154,0.6376454,0.605505411045113,Heart,qtc dispersion
respiration rate,2315,1595,-0.393162573966305,0.528647562771964,0.538834024030994,0.229418641851491,-0.274046513564999,0.528848381190765,0.841598394548927,0.16841909669105,-0.119116060384255,0.0255679152224031,3.31029804097071e-06,-0.302764370848873,0.276799082633209,0.274122730039727,0.83684799,0.03488402,0.3041538,0.76438613,0.527180453085781,Heart,respiration rate
rmssd,4059,4044,0.17425637315042,0.0630589321315916,-1.06392783943941,0.183008988429496,-0.00841875656733777,0.063145010599515,-0.543316172660894,0.170105970083844,0.182675129602234,0.020137888408378,1.49727515675451e-19,-0.520611666704512,0.199314093942377,0.00901981913122685,0.1066435,0.1231762,0.4890452,0.8401583,0.861433067798517,Heart,rmssd
rr,6520,6465,1.07520510719828,0.652688785660981,-0.500190951102351,0.205708955413135,1.00522920292501,0.6526867559895,-0.285382928179045,0.204594914610108,0.0699759042706024,0.00666941853696698,1.23716429271849e-25,-0.214808023052054,0.0632330990854389,0.000683467829609641,2.0627627,0.5859753,0.1872466,0.3663079,0.347001553832371,Heart,rr
st,5646,5636,-0.0514121395596587,0.451540277752333,-0.0208859466156878,0.0743964322354291,-0.0608105568440562,0.451540598856321,0.196778284676826,0.0717449182657845,0.00939842053280951,0.00578950973391972,0.104546589295759,-0.217664230252683,0.0537744768057438,5.21225974478155e-05,1.3361432,0.1577837,0.4756385,0.291162,0.275970330051946,Heart,st
stroke volume,3036,2033,0.264649078735534,0.523172866137624,1.89590977328229,0.176803900640584,0.516927160278965,0.523295677674644,1.60801545112888,0.1911099245157,-0.252278081545986,0.021244580265854,5.21920301894879e-32,0.287894322054919,0.228494352055947,0.207753471052569,0.9056939,0.1321162,0.2925855,0.58739672771838,0.6329718,Heart,stroke volume
basophil cell count,3423,3463,-0.444603762362464,0.160928662644971,0.299379807234065,0.176902866457785,-0.137918011539849,0.160763639642167,0.64829760566158,0.170979102555916,-0.306685750903763,0.0207063007033244,9.78694844855317e-49,-0.348917798913934,0.219249579093317,0.111570624640931,0.7343953,0.1554255,0.4978829,0.8100261,0.747309863175717,Hematology,basophil count
basophil differential count,4218,4256,-0.0489567605421573,0.164610494401075,0.0824081378892032,0.163589243012455,-0.0754661214317023,0.164562072023943,0.340606087216042,0.158652198865681,0.0265093608658195,0.0127330754520663,0.037384620066486,-0.258197949285559,0.120806731443095,0.0326091487317675,0.7952852,0.5215397,0.4241692,0.550429365410341,0.497372,Hematology,basophil count
eosinophil cell count,4236,4278,-0.385836486600472,0.219943913485621,-0.0550673081521992,0.137694407411461,-0.113240204977813,0.219930232168491,-0.0868874106182388,0.133131660209853,-0.272596281624894,0.0141413770090048,8.60499429965695e-81,0.0318201025275893,0.129293327791863,0.805605704375522,1.0116251,0.3104436,0.3592363,0.6059071,0.593983450727672,Hematology,eosinophils
eosinophil differential count,4669,4651,-0.140199198255673,0.187480335080846,-0.307471751851231,0.20869044277533,-0.144997270723449,0.187474073969378,-0.237065141109062,0.207713217303459,0.00479807246678012,0.0103800725543216,0.643922769669177,-0.0704066107788265,0.0965142239294705,0.465720712891389,0.894825,0.8567178,0.2958985,0.4610608,0.444794171168576,Hematology,eosinophils
eosinophils,1086,1076,-0.0463928365972249,0.225610678479643,-0.307115410828847,0.182446567821381,-0.11770723321791,0.225810460126932,0.194785357244949,0.18458093704978,0.071314396621649,0.022409721895033,0.00148687089819706,-0.501900768073672,0.220125138485398,0.0227238308248069,0.58434362,0.01081646,0.69358335,0.426820499841676,0.52130189,Hematology,eosinophils
hematocrit,10122,10015,-0.221580218783429,0.140751702301595,-0.018458173981804,0.15882195343284,-0.112271711631144,0.140786812884901,0.159655301829979,0.16062745395736,-0.109308507054909,0.00820114365627631,2.48445565328445e-40,-0.178113475977637,0.0726634103150861,0.0142472615405212,0.8805963,0.837248,0.9169523,0.4829381,0.578755315085541,Hematology,hematocrit
hemoglobin,10123,10015,-0.199411588662227,0.110644166318788,0.104878880801494,0.190960694434251,-0.190474892963593,0.110722684080913,0.364668106467997,0.194119627575059,-0.00893669565013209,0.00836135562128424,0.285170256804006,-0.259789219970937,0.0736401110315542,0.000420064004287614,0.6745318,1.0337281,0.9231243,0.4481603,0.623553017649345,Hematology,hemoglobin
large unstained cell (luc) count,3168,3252,-0.198732124223389,0.12001498220504,0.0664650124541693,0.205724460810195,0.38361505057712,0.120010197705984,0.874894910961925,0.198084501881377,-0.582347174801988,0.0190956848030007,1.3966058155619e-189,-0.808429898502374,0.19023050844061,2.17375999654368e-05,0.4465763,0.4312569,0.5165123,0.701831476961372,0.6945641,Hematology,luc
large unstained cell (luc) differential count,3342,3333,0.014128669892241,0.134467202012708,0.581738231652088,0.170945820108381,0.233092921666131,0.134475811161108,0.492987069844033,0.165802663427233,-0.218964251773898,0.016900598557195,6.90383271556176e-38,0.0887511618079955,0.164165098056713,0.588788467276281,0.5033784,0.3251468,0.5490462,0.630171,0.630961866141536,Hematology,luc
lymphocyte cell count,4580,4542,-0.152841523978855,0.11655624962952,0.103708115071155,0.145731981509941,0.377277755651767,0.116495404114335,-0.199595116268688,0.13696951120872,-0.530119277955962,0.0152732087863593,1.02382393181787e-245,0.303303230749147,0.140981822604076,0.0314778709447203,0.5147064,0.3356914,0.5043059,0.6897101,0.641515215426845,Hematology,lymphocytes
lymphocyte differential count,4876,4812,0.124647669140576,0.101662083429257,0.00517843429001643,0.0955824413310157,-0.0656261478782785,0.102242383046902,-0.605311678889202,0.140633520155308,0.19027381721154,0.0162290014376385,1.69686487930109e-31,0.610490115212604,0.147127881837225,3.36709347438174e-05,0.4804749,0.102128,0.4442177,0.4710541,0.934212261254128,Hematology,lymphocytes
mean cell hemoglobin concentration,10112,10014,0.0643970939496737,0.115503810453452,0.0357241838540549,0.0385715889420591,-0.0724324432819674,0.115546030532419,0.0874320895863635,0.0490714079660192,0.136829537245779,0.00613700325480731,1.30709441454412e-108,-0.0517079057379044,0.0535327991364848,0.334102170757124,0.70485576,0.00607941,0.97175756,0.30700375,0.480380809793399,Hematology,mean cell hemoglobin concentration
mean cell volume,10142,10033,0.243790837430445,0.15538294719842,0.225551114409065,0.0787034136563828,0.131917212006549,0.155387786351797,0.230707793722324,0.0789965856418185,0.111873625394807,0.00507218086985758,2.29375259517627e-106,-0.00515667933268875,0.0451463603583403,0.909063612712298,1.0035457,0.3556364,0.6140153,0.3172408,0.341820932090402,Hematology,mean cell volume
mean corpuscular hemoglobin,10092,9996,0.216016046758257,0.105358987593587,0.170693410085007,0.0483716896689763,-0.0494033269799471,0.105421179383451,0.283318266032224,0.0595305023089376,0.265419374704212,0.00747411892773826,8.7950870507239e-267,-0.112624855814266,0.0654105703945373,0.0851208387011154,0.62496589,0.01238758,1.09880386,0.38711246,0.575867121155335,Hematology,mean corpuscular hemoglobin
mean platelet volume,7855,7779,0.0738639326742885,0.187473131189015,0.0696602892797737,0.0479651399991396,0.0186292669022204,0.187471517569671,0.115594477266712,0.0489483921499095,0.0552346657363967,0.00367863917894262,1.48152703170197e-50,-0.0459341878343577,0.0381975023464202,0.229173553967256,1.0726894,0.1627999,0.2283466,0.209398,0.211491066794157,Hematology,mean platelet volume
monocyte cell count,4582,4542,-0.107631895090363,0.118973861294251,0.723567535706097,0.153782685031911,0.251891417005094,0.118979080249193,0.484138185776019,0.152104319218868,-0.359523312095577,0.0140902157811203,4.88945518819059e-138,0.239429349929304,0.130156894958666,0.0658729004673299,0.529191,0.414838,0.4323427,0.6131191,0.608846100015722,Hematology,monocytes
monocyte differential count,4868,4804,0.0943109399584903,0.150282628915941,0.841817817199615,0.168880491400749,0.105916059489669,0.150271856298206,0.672113487940144,0.166567499155815,-0.0116051195675173,0.0131989592081196,0.379294002495724,0.169704329420127,0.123368842912923,0.16898745918398,0.711017,0.559638,0.4239184,0.5954705,0.576684529094976,Hematology,monocytes
monocytes,1045,1040,-0.132441770660484,0.131234722224584,-0.466499994185128,0.223158406082548,0.00803528260274418,0.131661415823628,1.14664514334269,0.223007213890341,-0.140477053613522,0.025759954377113,5.67884368380047e-08,-1.61314513469842,0.252932869193722,2.31624260387227e-10,0.3183178,0.1658242,0.8055135,0.486101288528729,0.5889878,Hematology,monocytes
neutrophil cell count,4605,4569,-0.161323026762089,0.131707740430338,-0.00533450525911821,0.132192754031846,0.274623545062711,0.131809574034943,0.286808188264255,0.139601136962518,-0.435946571823185,0.0134249290645354,3.00528162715473e-217,-0.29214269354759,0.123152048216013,0.0177057776146507,0.6043777,0.3430436,0.4363309,0.5208442,0.638506297559053,Hematology,neutrophils
neutrophil differential count,4824,4786,-0.0530869630559873,0.130003321025486,-0.0610834177246865,0.12849632509221,0.0602070285124176,0.130130798968593,0.546753885370236,0.139014890891699,-0.113293991556117,0.0133247290910479,2.18204077094027e-17,-0.607837303109916,0.122680048222233,7.39051530011898e-07,0.6305302,0.3417854,0.5227901,0.4990369,0.661686368120723,Hematology,neutrophils
neutrophils,1086,1076,-0.0175753784210435,0.201599485364023,-0.290888328399645,0.245631737873071,-0.00684926836916199,0.202059926282147,-0.060632848903045,0.256765469988411,-0.0107261100527819,0.0250074492773424,0.668036925504688,-0.230255479496043,0.2438958186633,0.345263140317054,0.5152305,0.3368816,0.7861836,0.436580189984296,0.6107053,Hematology,neutrophils
platelet count,10074,9980,-0.484425437238531,0.114253173757745,0.100004235659326,0.0778985507816276,0.128666361361207,0.114268658633799,-0.319554119837839,0.0781498536589035,-0.613091798578231,0.00910458170386152,0,0.419558359109288,0.0809233371763531,2.18846080108283e-07,0.7023348,0.153015,0.8690198,0.574484,0.620326069224454,Hematology,platelet count
red blood cell count,10127,10027,-0.405590072017843,0.118558851622656,-0.0771019341225841,0.219847589794135,-0.205598557040012,0.118629988427529,0.133781340414612,0.222106768245885,-0.199991514956424,0.00975172433994397,2.18952299108509e-92,-0.210883273961233,0.0863198188212268,0.0145736685942554,0.7186139,1.1872437,1.0452474,0.5636689,0.696251172242632,Hematology,red blood cell count
red blood cell distribution width,7897,7820,0.186239505106316,0.203180463246674,-0.17878187454883,0.0642550813218046,0.287847428499937,0.203187098456515,0.0869092809746273,0.0681116611717846,-0.101607923397464,0.00413235763460947,1.09709673545848e-130,-0.265691155515639,0.0428827450239205,5.96595232784018e-10,1.1646471,0.2717959,0.1663987,0.2058243,0.270682927164287,Hematology,red blood cell distribution width
white blood cell count,9757,9631,-0.379215145486732,0.112852117125951,-0.0459633050565658,0.133392380764451,0.249536089413483,0.112838684003982,0.0284854733073685,0.13050621414965,-0.628751234917353,0.0102276251311149,0,-0.0744487783379995,0.0915194963358341,0.415957530765696,0.6789843,0.4930632,0.4954942,0.6846815,0.649965124884796,Hematology,white blood cell count
b cells,787,782,-0.0773825967727868,0.207879377117643,0.195633351483875,0.216455438998091,-0.0289384943745383,0.20808847533649,-0.0126310527946599,0.208396086623973,-0.0484441025413892,0.0226062827597521,0.0323112317714151,0.208264405058778,0.223215881192616,0.350992231432117,0.4881236,0.2066539,0.8269547,0.382486,0.454001577766096,Immunology,B cells
