"","parameter_name","f_n","m_n","f_intercept","f_intercept_se","f_slope","f_slope_se","m_intercept","m_intercept_se","m_slope","m_slope_se","fm_diff_int","fm_diff_int_se","fm_diff_int_p","fm_diff_slope","fm_diff_slope_se","fm_diff_slope_p","group_sd","f_sd","m_sd","Category","parameter_group","lnVR","VlnVR","low_lnVR","high_lnVR","t_val_sd","p_val_sd","Scen"
"71","basophil cell count",3423,3463,-0.454211539,0.160958577,0.241183568,0.173129738,-0.144592599,0.160850855,0.586656177,0.174797495,-0.30961894,0.021802708,3.92e-45,-0.345472609,0.233926546,0.139763828,0.742744839,0.910961339,0.893241266,"Hematology","basophil count",0.0196454274974948,0.000290538571738717,0.0190759823607672,0.0202148726342224,1.15254949603524,0.249135363315367,"B"
"72","eosinophil cell count",4236,4278,-0.373607281,0.218671398,0.099869024,0.112646383,-0.108164584,0.218670299,0.033122517,0.109464,-0.265442698,0.014698892,1.46e-71,0.066746509,0.136516129,0.624905558,1.008651674,0.672131629,0.682182572,"Hematology","eosinophils",-0.0148419656855864,0.000234968126650912,-0.0153024947513371,-0.0143814366198358,-0.968248752232296,0.332947662166575,"B"
"73","large unstained cell (luc) differential count",3342,3333,0.016282405,0.131664591,0.714440856,0.170321992,0.238819946,0.131670171,0.655177931,0.16255894,-0.222537541,0.02024017,7.02e-28,0.059262925,0.202323378,0.769598621,0.504047352,0.823125875,0.82863598,"Hematology","luc",-0.0066722200544948,0.000299715815688742,-0.00725965225884178,-0.00608478785014782,-0.385403390367534,0.69995085552628,"B"
"74","lymphocyte cell count",4580,4542,-0.127334874,0.116251109,0.013898973,0.130446059,0.393731452,0.116231733,-0.261329776,0.125392485,-0.521066329,0.016881018,4.73e-199,0.275228725,0.158943221,0.083375743,0.521380741,0.811864685,0.798908475,"Hematology","lymphocytes",0.0160863786595944,0.000219302052941343,0.0156565545340936,0.0165162027850951,1.08626788193743,0.277389202390951,"B"
"75","mean cell hemoglobin concentration",10112,10014,0.030154616,0.118178867,0.090575856,0.06413278,-0.106624933,0.118224987,0.107971733,0.069907119,0.136779549,0.009526549,1.62e-46,-0.017395877,0.08477294,0.837413616,0.777052664,0.626397511,0.720453901,"Hematology","mean cell hemoglobin concentration",-0.139896744257853,9.9386177259445e-05,-0.140091537585843,-0.139701950929864,-14.0328090065513,0,"B"
"76","mean cell volume",10142,10033,0.257298985,0.155851991,0.291942675,0.059559845,0.138038824,0.155854829,0.424175583,0.059603099,0.119260161,0.008405973,1.81e-45,-0.132232908,0.075120834,0.078377321,1.029591401,0.587691069,0.605297265,"Hematology","mean cell volume",-0.0295188032005996,9.9145312654569e-05,-0.0297131244426386,-0.0293244819585607,-2.96457643612086,0.0030345432822183,"B"
"77","mean corpuscular hemoglobin",10092,9996,0.236610087,0.098545125,0.204967461,0.070329582,-0.034862795,0.098631595,0.326517908,0.07855014,0.271472882,0.010610928,4.34e-142,-0.121550446,0.094361703,0.197714455,0.643931525,0.684872571,0.812106655,"Hematology","mean corpuscular hemoglobin",-0.170399362748035,9.95741156674859e-05,-0.170594524428536,-0.170204201067535,-17.0763377968736,0,"B"
"78","mean platelet volume",7855,7779,0.071440173,0.187148257,0.065173721,0.033727308,0.012631051,0.187148187,0.063632871,0.036377919,0.058809116,0.004639032,1.2e-36,0.001540842,0.047943698,0.974361947,1.07410024,0.284761161,0.294716776,"Hematology","mean platelet volume",-0.0343646385148852,0.000127945705971208,-0.0346154074905653,-0.0341138695392051,-3.03807801817046,0.00238485201644445,"B"
"79","monocyte cell count",4582,4542,-0.110783516,0.116740985,0.80222767,0.11569225,0.244001313,0.116774747,0.602193577,0.115632694,-0.354784829,0.015298097,1.2e-115,0.200034093,0.143697709,0.163941917,0.52599726,0.717185083,0.742362883,"Hematology","monocytes",-0.0345052031199249,0.000219254380316504,-0.0349349338087979,-0.0340754724310519,-2.33029256224505,0.0198123875062872,"B"
"80","neutrophil cell count",4605,4569,-0.165842708,0.130080951,0.060366561,0.108094661,0.282860904,0.130189361,0.285307557,0.116430457,-0.448703612,0.014933604,3.05e-189,-0.224940995,0.139931598,0.107977749,0.60368178,0.664305908,0.760996587,"Hematology","neutrophils",-0.135886980635981,0.000218058309153238,-0.136314367068451,-0.135459594203511,-9.20219705072513,0,"B"
"81","red blood cell count",10127,10027,-0.376679471,0.118264871,-0.192610092,0.076518501,-0.161436373,0.118407519,-0.023627394,0.091322298,-0.215243098,0.012066834,1.26e-70,-0.168982698,0.106978841,0.114216543,0.774125237,0.741082706,0.95628043,"Hematology","red blood cell count",-0.254939466251758,9.92481763492344e-05,-0.255133989102933,-0.254744943400582,-25.5903251746098,0,"B"
"82","white blood cell count",9757,9631,-0.354629879,0.111150909,-0.235512953,0.084280774,0.272033586,0.111116277,-0.166350305,0.07919035,-0.626663465,0.011522969,0,-0.069162648,0.102922578,0.501599916,0.683963095,0.821375868,0.781815384,"Hematology","white blood cell count",0.0493615205824177,0.000103171592463588,0.0491593079769614,0.0495637331878739,4.85968883879243,1.18489357658902e-06,"B"
"83","b1b cells",778,773,-0.000300663,0.242112664,-0.959489476,0.366246255,-0.099846968,0.242298284,-0.178499943,0.33077034,0.099546305,0.045381094,0.028415646,-0.78098953,0.43381853,0.072013733,0.586313915,0.882095332,0.904264242,"Immunology","B cells",-0.0248256521938732,0.00129116903728303,-0.0273562970049012,-0.0222950073828452,-0.690890331623875,0.489737979477904,"B"
"84","cd4 cd25- nkt cells",576,569,0.099252149,0.097523664,0.653164626,0.535152677,-0.20239873,0.095864893,0.418116745,0.426447724,0.301650879,0.058030661,2.38e-07,0.235047881,0.670082171,0.725822292,0.168014877,1.029643096,0.932064096,"Immunology","cd4 nkt",0.0995552111119856,0.00174984690753215,0.0961255741947638,0.102984848029207,2.37992883262944,0.0174792445080825,"B"
"85","cd4 cd25+ nkt cells",611,607,-0.054511251,0.342756818,-0.177400613,0.409581107,-0.163400888,0.342804467,0.384021508,0.376008017,0.108889636,0.049585613,0.028281572,-0.56142212,0.533065676,0.292461708,0.681246685,0.860410559,0.869965764,"Immunology","cd4 nkt",-0.011049600010046,0.00164475463939837,-0.014273259866672,-0.00782594015342003,-0.272455762032106,0.785317858433146,"B"
"86","cd4 cd44+cd62l- nkt cells",722,713,0.223463927,0.218308441,0.326575526,0.409951974,-0.078020068,0.218098211,0.083097052,0.346648064,0.301483995,0.048847818,8.78e-10,0.243478474,0.482329678,0.613779566,0.525380573,0.950479448,0.898779847,"Immunology","cd4 nkt",0.0559196555342476,0.00139572846701678,0.0531840780066974,0.0586552330617978,1.49680084372685,0.134665297161777,"B"
"87","cd4 nkt cells",725,716,0.219142675,0.192356229,0.322699363,0.418810965,-0.082567535,0.192046085,0.273953564,0.351503083,0.30171021,0.04968601,1.61e-09,0.048745802,0.491803432,0.921059696,0.460067728,0.973266477,0.911444684,"Immunology","cd4 nkt",0.0656183177597276,0.00138990843410733,0.0628941472870688,0.0683424882323865,1.76007833486859,0.078606960344632,"B"
"88","cdcs",785,780,-0.091754202,0.222143408,-0.55647799,0.358926951,0.073529063,0.222433325,-0.296215041,0.328554297,-0.165283265,0.044806814,0.000233069,-0.260262949,0.426709559,0.541997258,0.537104304,0.865531856,0.905797083,"Immunology","cdcs",-0.0454752237717699,0.00127960362578921,-0.0479832007928036,-0.0429672467507361,-1.27126799590896,0.203822473646673,"B"
"89","cdcs cd11b type",785,780,-0.065534096,0.230762514,-0.752436254,0.366991287,0.136344408,0.230861996,-0.420927862,0.325446556,-0.201878504,0.045057333,7.99e-06,-0.331508392,0.43020642,0.441073001,0.558169937,0.889260353,0.892542924,"Immunology","cdcs",-0.00368864688059448,0.00127960362578921,-0.0061966239016282,-0.00118066985956076,-0.103116781811642,0.917883514240655,"B"
"90","dn cd25- t cells",607,603,-0.072336542,0.362316975,-0.302062116,0.387528665,-0.391180062,0.362629712,-0.17352685,0.383172041,0.318843521,0.048946683,1.07e-10,-0.128535267,0.522052004,0.805560428,0.720996701,0.81016188,0.890174029,"Immunology","dn t",-0.0941883845385172,0.00165564729230398,-0.0974333936025343,-0.0909433754745002,-2.31479980235375,0.0207908728858825,"B"
"91","dn cd44-cd62l- t cells",590,580,-0.099285082,0.239792016,-0.074529192,0.395556819,-0.394610533,0.240218573,0.733156237,0.366828472,0.295325451,0.051722929,1.44e-08,-0.807685429,0.484587964,0.095834254,0.527824356,0.858838309,0.908337176,"Immunology","dn t",-0.0560496377010177,0.00171245429301149,-0.0594059864404912,-0.0526932889615442,-1.35445105374715,0.175854472298893,"B"
"92","dn cd44-cd62l+ nkt cells",621,582,-0.130418659,0.254909665,0.629078732,0.412307828,-0.32508981,0.254976965,0.547867901,0.36281236,0.194671151,0.049004927,7.54e-05,0.081210831,0.498395649,0.870589704,0.616075707,0.870065962,0.82780894,"Immunology","dn nkt",0.049732514613943,0.00166703681083782,0.0464651825037984,0.0529998467240877,1.21805759472989,0.223441323052612,"B"
"93","dn cd44-cd62l+ t cells",717,708,-0.254933235,0.260886771,-0.191009882,0.326968638,-0.586221326,0.261007307,-0.298628904,0.293852685,0.33128809,0.040199201,3.84e-16,0.107619022,0.393876727,0.784716101,0.634056605,0.750221865,0.766433632,"Immunology","dn t",-0.0213880155554939,0.00140553760084708,-0.0241428186320711,-0.0186332124789168,-0.570491603869414,0.568434382613216,"B"
"94","dn cd44+cd62l- nkt cells",717,708,0.089255133,0.251550741,0.04341033,0.388037677,-0.110658618,0.251691443,-0.278784856,0.346647821,0.199913751,0.047591804,2.83e-05,0.322195185,0.466538149,0.489924824,0.608882009,0.891637715,0.904038172,"Immunology","dn nkt",-0.0138205737445853,0.00140553760084708,-0.0165753768211624,-0.0110657706680082,-0.368642021111617,0.712449405950863,"B"
"95","dn cd44+cd62l- t cells",717,708,-0.320104374,0.396866127,-0.337667567,0.265645426,-0.521248342,0.396964593,0.214082443,0.244960105,0.201143968,0.033079349,1.54e-09,-0.551750008,0.323416851,0.088226874,0.969959467,0.606955983,0.640565312,"Immunology","dn t",-0.0539037032506272,0.00140553760084708,-0.0566585063272043,-0.0511489001740501,-1.43779632299978,0.150711716903606,"B"
"96","dn cd44+cd62l+ t cells",717,708,-0.334673811,0.391080639,-0.255664192,0.280488286,-0.524056316,0.391154003,-0.338911067,0.253868049,0.189382505,0.034581168,5.13e-08,0.083246874,0.338635744,0.805849346,0.955506511,0.642403833,0.662174004,"Immunology","dn t",-0.030320127574502,0.00140553760084708,-0.0330749306510791,-0.0275653244979249,-0.808741613480813,0.418798976463455,"B"
"97","dn nkt cells",781,772,-0.021086797,0.29322601,-0.022109555,0.349834512,-0.169176726,0.293378502,-0.265571426,0.31609227,0.148089929,0.043266499,0.000636136,0.243461868,0.412867167,0.555487657,0.713238066,0.839772868,0.864311657,"Immunology","dn nkt",-0.0288094406364317,0.00128953407163524,-0.031336880973674,-0.0262820002991893,-0.802266052082867,0.422521980241236,"B"
"98","dn t cells",723,714,0.019035807,0.251099927,-0.29328387,0.362260407,-0.296554826,0.251530275,-0.178928689,0.343106044,0.315590633,0.04570257,7.52e-12,-0.114355181,0.447333305,0.798267552,0.608686311,0.827406735,0.902275733,"Immunology","dn t",-0.0866325115819012,0.00139378304771303,-0.0893642761576812,-0.0839007470061212,-2.32050931611675,0.0204529571094723,"B"
"99","gd t cells",110,105,0.352030658,0.265786292,0.30152927,1.500372056,-0.17050061,0.267921231,-0.382340889,1.203754933,0.522531268,0.128626685,6.86e-05,0.683870158,1.911304993,0.720850306,0.352655673,0.932156073,0.948971601,"Immunology","t cells",-0.0180991483560361,0.00939484827099506,-0.0365127126074048,0.000314415895332636,-0.186729637723914,0.852050348734147,"B"
"100","nk subsets (q3)",575,566,0.149178479,0.222218625,0.563506819,0.490555904,0.395221026,0.223123339,-0.012638784,0.459649586,-0.246042563,0.05713252,1.8e-05,0.576145584,0.643804012,0.371026323,0.498551545,0.919056119,1.007680803,"Immunology","nk cells",-0.0920734246255086,0.00175603589158521,-0.0955151917285753,-0.0886316575224419,-2.19718994413736,0.0282077038273703,"B"
"101","nkt cells (panel a)",786,777,0.082602011,0.230864271,0.095741735,0.386800571,-0.119155768,0.230762849,0.276876983,0.331788737,0.201757778,0.046553351,1.56e-05,-0.181135255,0.447247178,0.685533011,0.557683628,0.938457622,0.901167662,"Immunology","nkt cells",0.0405389881031525,0.00128127257206645,0.0380277400075232,0.0430502361987817,1.13253632201506,0.257582951424688,"B"
"102","nkt cells (panel b)",726,717,0.345892762,0.378304415,-0.053196136,0.2845219,0.177339711,0.378368849,-0.095773699,0.249989199,0.168553051,0.033624854,6.03e-07,0.042577563,0.328851076,0.897000999,0.923542961,0.630537034,0.646073217,"Immunology","nkt cells",-0.024349614029535,0.00138797919476016,-0.0270700032625558,-0.0216292247965142,-0.653582783162184,0.513484914131104,"B"
"103","nkt subsets (q1)",640,633,0.687651979,0.385708331,-0.655841536,0.312886576,0.580790296,0.385652914,-0.494824662,0.267570627,0.106861683,0.036903356,0.003848002,-0.161016874,0.386619093,0.677133758,0.940528151,0.676520054,0.639570937,"Immunology","nkt cells",0.0561558837087313,0.00157361185396486,0.0530716611493149,0.0592401062681477,1.41561924057344,0.157131999535222,"B"
"104","nkt subsets (q3)",574,565,0.92598262,0.526129313,0.338475901,0.349156926,0.705484086,0.526232789,-0.197568575,0.310530495,0.220498534,0.039410583,2.77e-08,0.536044469,0.446355084,0.23002697,1.172997013,0.653191443,0.676213744,"Immunology","nkt cells",-0.034652879000385,0.00175912517173517,-0.0381007009812838,-0.0312050570194862,-0.826210957770704,0.408857767934359,"B"
"105","rp macrophage (cd19-  cd11c-)",611,612,-0.16832015,0.408113726,0.468869606,0.320715551,-0.258412908,0.40827823,0.50320336,0.313705416,0.090092758,0.040210827,0.02523783,-0.034333755,0.430099819,0.936387658,0.8140114,0.673009641,0.731920457,"Immunology","rp macrophage (cd19-  cd11c-)",-0.0839108462799423,0.00163800273671219,-0.0871212726504763,-0.0807004199094084,-2.07329351685689,0.0383542865270985,"B"
"106","t subset",640,635,-0.060081847,0.219479541,-1.439196522,0.419904226,0.091318063,0.219990656,-0.630784398,0.397106434,-0.15139991,0.052180104,0.003778206,-0.808412124,0.54360239,0.1372272,0.523726168,0.903155671,0.95863007,"Immunology","t cells",-0.0596164941228477,0.00157111614658156,-0.0626958251856769,-0.0565371630600185,-1.50405004449305,0.132816526135195,"B"
"107","transitional b cells",222,217,-0.179776924,0.454936037,-0.649871859,0.765154146,0.163755017,0.45453263,-1.276700354,0.611513369,-0.34353194,0.077679148,1.24e-05,0.626828495,0.949860524,0.50965918,0.887616992,0.849137587,0.775705916,"Immunology","B cells",0.090395385392938,0.00457725825372884,0.0814241240676908,0.0993666467181852,1.33611411636549,0.182207308057276,"B"
"108","glycosilated hemoglobin a1c (hba1c)",390,389,-0.455876971,0.188686339,2.172838446,0.638900081,0.632507418,0.189012618,2.971392166,0.594053939,-1.088384389,0.054765514,2.59e-71,-0.79855372,0.86867602,0.358237567,0.316443913,0.7506118,0.777634719,"Metabolism","glycosilated hemoglobin a1c (hba1c)",-0.035371606485283,0.00257400683751623,-0.0404165671827747,-0.0303266457877914,-0.697188053363067,0.485893656528205,"B"
"109","number of lumbar vertebrae",4878,4835,0.033699344,0.014355872,-0.154138103,0.105056852,-0.018964787,0.020225652,-0.168263789,0.167281632,0.052664139,0.020324282,0.009578709,0.014125702,0.196067642,0.942567545,0.018100112,0.719082885,1.218437394,"Morphology","number of lumbar vertebrae",-0.527348774905963,0.000205956051341274,-0.52775244134899,-0.526945108462936,-36.7460501177577,0,"B"
"110","number of rears - total",5576,5577,0.055292588,0.156682665,1.165007514,0.117705826,0.260213774,0.15668687,1.402289772,0.09933732,-0.204921186,0.014840359,5.13e-43,-0.237282257,0.144868833,0.101468502,0.516400242,0.79224855,0.774269091,"Morphology","number of rears - total",0.0229557084635859,0.000179356113001911,0.0226041769416951,0.0233072399854768,1.71408600450362,0.0865407215659042,"B"
"111","body temp",1131,562,-0.04464996,0.079334293,0.079633141,0.400637984,0.061338468,0.08173377,0.751887426,0.445314458,-0.105988428,0.051142129,0.038376947,-0.672254286,0.578571436,0.245431827,0.102387322,1.049183875,0.883824381,"Physiology","body temp",0.171060712426933,0.00133374347325414,0.16844662325474,0.173674801599127,4.6839701941617,3.03859290196051e-06,"B"
"112","calcium",8802,8788,0.181175633,0.212145937,0.134816917,0.058936761,0.224830263,0.212196104,0.105959942,0.066808891,-0.04365463,0.009100564,1.62e-06,0.028856976,0.08021617,0.719045802,1.156605036,0.536152543,0.66360099,"Physiology","calcium",-0.213262424963214,0.000113713967888567,-0.213485300244815,-0.213039549681613,-19.9989611265329,0,"B"
"113","creatine kinase",4544,4554,0.567128751,0.181498126,-1.00497922,0.129759436,0.318676234,0.181527007,-1.181878684,0.142242865,0.248452517,0.017518693,3.58e-45,0.176899465,0.187321476,0.345009313,0.546404587,0.841797647,0.828742877,"Physiology","creatine kinase",0.0156299562699418,0.000219877134706992,0.0151990050048922,0.0160609075349913,1.05406581445937,0.291880783784041,"B"
"114","hdl cholesterol",483,470,-0.696911499,0.351172671,1.063338485,0.41273555,0.574602977,0.351002991,0.691982478,0.325380225,-1.271514476,0.045623822,2.45e-125,0.371356007,0.505862993,0.463066926,0.494359459,0.729672897,0.678345026,"Physiology","hdl-cholesterol",0.0729115473312561,0.0021034424793637,0.0687888758281516,0.0770342188343606,1.58975791090919,0.112221744982994,"B"
"115","hdl-cholesterol",8693,8686,-0.953301974,0.552936511,1.780100402,0.066291006,-0.04410812,0.552935629,1.742371826,0.06153545,-0.909193852,0.009116058,0,0.037728576,0.081018192,0.641450201,2.872073749,0.613088099,0.587999376,"Physiology","hdl-cholesterol",0.041782710353885,0.000115094684039029,0.0415571289183565,0.0420082917894135,3.89465484898339,9.87066502151634e-05,"B"
"116","sodium",6415,6380,-0.093801867,0.204083664,0.020599637,0.114756392,0.271500301,0.204076552,-0.252449518,0.109269485,-0.365302168,0.015699725,2.52e-117,0.273049155,0.144406922,0.058669447,0.790579784,0.919708677,0.854650514,"Physiology","sodium",0.0733639069275251,0.000156336666152917,0.0730574926924024,0.0736703211626479,5.86748554010503,4.53404203071273e-09,"B"
"117","total protein",8760,8785,0.270738975,0.175089603,0.648345979,0.083020797,0.328628713,0.175090555,0.747721969,0.076024545,-0.057889738,0.011284724,2.93e-07,-0.09937599,0.101042332,0.325370832,0.932369154,0.763252685,0.730655894,"Physiology","total protein",0.0436466962483751,0.00011400581779948,0.0434232489514601,0.0438701435452901,4.08778333759964,4.37453942385702e-05,"B"
"118","urea (blood urea nitrogen - bun)",8742,8796,-0.166465069,0.12553706,0.837531814,0.08856098,-0.052837116,0.125460331,1.00841264,0.071543702,-0.113627953,0.011329804,1.31e-23,-0.170880826,0.102627324,0.095918345,0.674880412,0.818452674,0.67413322,"Physiology","urea (blood urea nitrogen - bun)",0.193988178778964,0.000114052176399225,0.193764640620863,0.194211716937065,18.1645012269117,0,"B"
"119","uric acid",433,425,0.139430149,0.274658253,-1.170511556,0.588473964,0.418775121,0.275647931,0.370449158,0.658339377,-0.279344972,0.059471869,3.08e-06,-1.540960714,0.876484494,0.079087788,0.599665762,0.809733003,0.926952794,"Physiology","uric acid",-0.135219911333988,0.00233665269042628,-0.139799666451603,-0.130640156216374,-2.79732910512449,0.00526830903246367,"B"
"120","center distance travelled",9152,9155,0.107774463,0.259104116,-0.123547705,0.065786436,0.059497754,0.259097887,0.072127861,0.056351069,0.048276709,0.008093528,2.49e-09,-0.195675566,0.078606751,0.012808409,0.968800869,0.566268017,0.527857116,"Behaviour","center distance travelled",0.0702418788517283,0.000109259768026202,0.0700277336414377,0.0704560240620189,6.71994908643024,1.87141413476866e-11,"C"
"121","distance travelled - total",9078,9053,0.225542356,0.246061907,-0.152076319,0.035773073,0.094109133,0.246061361,-0.049143175,0.031445203,0.131433223,0.004391063,3.52e-192,-0.102933144,0.042754097,0.016069363,0.920473326,0.300964394,0.290055446,"Behaviour","distance travelled - total",0.0369197154511871,0.000110320690789475,0.0367034908704901,0.037135940031884,3.51503666020965,0.000440765977559376,"C"
"122","forelimb grip strength measurement mean",12446,12495,0.234446521,0.190122457,1.12765426,0.076604476,0.484869987,0.190130356,0.891843525,0.071306194,-0.250423466,0.009852791,1.03e-140,0.235810734,0.094424118,0.012518689,0.684676965,0.764572793,0.791158621,"Behaviour","limb strength",-0.0341810850151482,8.01959870428444e-05,-0.0343382662614568,-0.0340239037688396,-3.8168889620289,0.000135471375558804,"C"
"123","forelimb grip strength normalised against body weight",12439,12484,0.531958451,0.177376087,-1.660596069,0.070482102,0.135631698,0.177383841,-1.926973515,0.065756285,0.396326753,0.009075719,0,0.266377445,0.086962709,0.00219274,0.638794911,0.703112083,0.729373823,"Behaviour","limb strength",-0.0366699300346708,8.02538630540429e-05,-0.0368272247158769,-0.0365126353534646,-4.09333329551226,4.26554973411708e-05,"C"
"124","locomotor activity",9480,9524,0.188354497,0.129415856,0.393721333,0.098093783,-0.059871151,0.129471165,0.033328942,0.099026505,0.248225648,0.013128147,5.22e-79,0.360392391,0.123860235,0.003622306,0.440737135,0.839417987,0.965876251,"Behaviour","locomotor activity",-0.14032669866311,0.000105252643067128,-0.140532990052799,-0.140120407273421,-13.6780379021144,0,"C"
"125","ma threshold inducing clonic seizure",788,750,-0.487023405,0.050949449,0.36567009,0.355551686,0.530310452,0.051449174,2.08411128,0.323019355,-1.017333856,0.043336823,2.33e-104,-1.718441189,0.479641485,0.000350612,0.057570277,0.848511894,0.850473885,"Behaviour","ma threshold inducing clonic seizure",-0.00234183636990704,0.00130288075757087,-0.00489543573089621,0.000211762991082135,-0.0648790095914432,0.94827877573223,"C"
"126","percentage of live gated events in panel a",762,754,-0.135795345,0.447118821,-0.698287093,0.18581192,-0.035897087,0.44705899,-0.018325119,0.151345966,-0.099898259,0.021703204,4.52e-06,-0.679961974,0.210300206,0.00125021,1.094273814,0.449901684,0.393184105,"Behaviour","percentage of live gated events",0.134744135757687,0.00132104084756026,0.132154943274363,0.137333328241012,3.70724894223099,0.00021707696896911,"C"
"127","percentage of live gated events in panel b",762,759,-0.081054796,0.477745238,-0.624934682,0.190676814,0.012572221,0.477744851,-0.068680177,0.169396282,-0.093627018,0.023222916,5.81e-05,-0.556254505,0.223151578,0.012783169,1.16929956,0.457203357,0.448112347,"Behaviour","percentage of live gated events",0.0200816985000404,0.00131666083025043,0.0175010906928949,0.0226623063071858,0.5534310030464,0.580049760082876,"C"
"128","periphery average speed",8817,8824,0.333476867,0.235370869,-0.120011941,0.028740725,0.219521378,0.235370515,-0.043180784,0.025284894,0.11395549,0.003558825,1e-218,-0.076831157,0.03420496,0.024703579,0.880539324,0.240430591,0.232043787,"Behaviour","periphery average speed",0.0355053990513531,0.00011338513039155,0.0352831682794033,0.0357276298233029,3.33438962681019,0.000856629578366963,"C"
"129","periphery distance travelled",9162,9163,0.25188707,0.229042094,0.041062534,0.035761561,0.115743385,0.229043085,0.135642233,0.032407409,0.136143685,0.004517854,9.49e-195,-0.094579699,0.043749723,0.030643784,0.856764946,0.305717471,0.305704844,"Behaviour","periphery distance travelled",4.1309650799852e-05,0.000109152431695526,-0.000172625184148348,0.000255244485748052,0.00395398316726707,0.996845229142156,"C"
"130","side changes",1841,1785,-0.625301542,0.798799679,1.47427662,0.208933192,-0.715452549,0.798777781,0.312109265,0.160580705,0.090151007,0.02806006,0.001326062,1.162167355,0.259787468,7.93e-06,1.382534544,0.887559629,0.800225135,"Behaviour","side changes",0.103574069943259,0.000552008188730747,0.102492153774175,0.104655986112342,4.40837247459727,1.07170546059798e-05,"C"
"131","time mobile light side",1844,1789,-0.511760143,0.32793341,0.693827519,0.233628513,-0.365609853,0.327902,-0.269712086,0.184486041,-0.14615029,0.03180413,4.47e-06,0.963539605,0.293481164,0.001036313,0.564808345,0.995595607,0.919932977,"Behaviour","time mobile",0.0790319965072501,0.000550938856863324,0.0779521761901143,0.0801118168243858,3.3670630700947,0.000767637575184832,"C"
"132","cone b-wave implicit time-left",93,95,0.941595409,0.894960042,1.508110643,1.234006292,0.610766092,0.89269006,-1.400455232,0.772478101,0.330829317,0.13275781,0.01359268,2.908565875,1.43292788,0.04382424,1.243209864,1.006139358,0.800151998,"Eye","cone b-wave implicit time",0.229189794456531,0.0107539315448659,0.208112475936385,0.250267112976678,2.2100985585098,0.0283182885501509,"C"
"133","left anterior chamber depth",118,120,0.143993326,0.329154625,3.570408041,1.054566044,0.562490443,0.323362086,1.167090101,0.577281184,-0.418497117,0.091086562,7.16e-06,2.40331794,1.122771749,0.033369454,0.748363367,0.801458399,0.570397443,"Eye","left anterior chamber depth",0.340171504102693,0.00847518494577318,0.323560446846661,0.356782561358724,3.69507568399034,0.000273268859726228,"C"
"134","left vitreous humour thickness",38,45,-0.672861975,0.333131462,-5.34020314,2.287384762,-0.105489984,0.310156729,2.607152039,1.84254619,-0.567371991,0.20512846,0.007121917,-7.947355179,2.936111206,0.00838626,0.45510841,0.938780324,0.891692552,"Eye","vitreous humor thickness",0.0536099817154656,0.0248771498771499,0.00485166391824682,0.102368299512684,0.339895447510692,0.734815077676433,"C"
"135","right vitreous humor thickness",39,48,-0.365295804,0.253475018,-4.618424771,2.177878704,0.06729746,0.243435372,2.199021278,1.979027505,-0.432593264,0.205507193,0.038429117,-6.817446048,2.941771415,0.023035397,0.273067788,0.894213364,1.006509165,"Eye","vitreous humor thickness",-0.11577934509549,0.0237961926091825,-0.162419025578666,-0.069139664612314,-0.750546062493994,0.454998584864853,"C"
"136","response amplitude - pp3",8837,8843,-0.046884598,0.220435586,0.269744719,0.028834594,-0.010233346,0.220437173,0.376715658,0.027737355,-0.036651252,0.003659701,1.52e-23,-0.106970939,0.036793607,0.00364989,1.078369749,0.232179241,0.253811903,"Hearing","response amplitude",-0.0890837510260369,0.000113134983051896,-0.0893054915182102,-0.0888620105338637,-8.37529354262639,0,"C"
"137","cv",4410,4402,0.299774016,0.172665293,-1.733774651,0.148041477,0.021612976,0.17275129,-0.763688047,0.139566409,0.278161041,0.02021338,1.2e-42,-0.970086604,0.199396986,1.16e-06,0.432727901,0.93676841,0.960392527,"Heart","cv",-0.0249061987904754,0.000227014943149119,-0.0253511399030001,-0.0244612576779507,-1.6530280664846,0.098360782385513,"C"
"138","hrv",4059,4044,0.418760578,0.149158203,-1.728314437,0.155799559,0.132362898,0.149282801,-0.762764628,0.146488777,0.28639768,0.021423028,2.46e-40,-0.965549808,0.21327999,6.06e-06,0.334284773,0.947163717,0.98078465,"Heart","hrv",-0.0348814138421678,0.000246883947295504,-0.0353652974872281,-0.0343975301971075,-2.21997280116344,0.0264481890187378,"C"
"139","lvaws",1748,762,0.257229605,0.575205112,1.955104514,0.275433051,0.140878772,0.575596009,0.584125804,0.359592814,0.116350833,0.040120375,0.003763601,1.37097871,0.433063124,0.001565304,0.812752213,0.86923773,0.884916301,"Heart","lvaws",-0.018247235523408,0.000943235146114947,-0.0200959424387457,-0.0163985286080703,-0.594137672139551,0.552473622464601,"C"
"140","lvpwd",3197,2210,0.642173903,0.528241941,0.814282736,0.141001566,0.768573813,0.528275107,1.216843633,0.143087454,-0.126399909,0.017604509,7.92e-13,-0.402560897,0.196142576,0.040179956,1.053347757,0.606629102,0.615254497,"Heart","lvpwd",-0.0141883299692381,0.000382792320187468,-0.0149385891303641,-0.0134380708081121,-0.725186435319407,0.468369057368955,"C"
"141","mean r amplitude",4561,4532,-0.363448758,0.472280007,0.59522082,0.144263065,-0.518912577,0.472285925,1.036363306,0.132618759,0.155463819,0.019446918,1.46e-15,-0.441142486,0.194462602,0.023320837,1.153651656,0.922422532,0.931871339,"Heart","mean r amplitude",-0.0101920624291674,0.00022000003871962,-0.0106232545816552,-0.00976087027667949,-0.687148648327657,0.492006588673622,"C"
