parameter_name,f_n,m_n,f_intercept,f_intercept_se,f_slope,f_slope_se,m_intercept,m_intercept_se,m_slope,m_slope_se,fm_diff_int,fm_diff_int_se,fm_diff_int_p,fm_diff_slope,fm_diff_slope_se,fm_diff_slope_p,group_sd,f_sd,m_sd,Category,parameter_group,lnVR,VlnVR,low_lnVR,high_lnVR,t_val_sd,p_val_sd
right anterior chamber depth,116,121,0.039940621,0.180576091,0.810732941,1.647043148,0.30127136,0.134803199,0.087792519,0.268014575,-0.26133074,0.124036042,0.036219797,0.722940422,1.651883933,0.662057197,0.306315989,1.311436631,0.251920308,Eye,anterior chamber depth,1.6499468402009556,0.008514492753623188,1.6332587410572268,1.6666349393446844,17.880948887608707,0
right corneal thickness,117,121,-0.217338724,0.195069146,-0.038568679,0.834378706,-0.113225003,0.210237292,0.319003246,1.045295466,-0.104113721,0.118236495,0.379481982,-0.357571925,1.247198262,0.77460115,0.36898268,0.595711298,1.142444769,Eye,corneal thickness,-0.6510259508297341,0.008477011494252874,-0.6676405880550018,-0.6344113136044665,-7.070936131812555,1.7308598998511115e-11
right inner nuclear layer,130,134,0.793735718,0.351473459,-0.233007588,1.038563313,0.57576239,0.348245284,-0.380465379,0.734213599,0.217973328,0.099824686,0.029906234,0.147457791,1.165003895,0.89937828,0.788084105,0.821962466,0.77636069,Eye,inner nuclear layer,0.05719408381409257,0.007635367488488663,0.04222903852792675,0.07215912910025839,0.6545399142987136,0.5133381909018846
right outer nuclear layer,130,134,-0.003388549,0.573942249,0.384124664,0.639680435,-0.050419242,0.573331355,0.08037094,0.52375795,0.047030693,0.066560567,0.48046958,0.303753724,0.753826037,0.687323097,1.383020863,0.498706612,0.563447176,Eye,outer nuclear layer,-0.12193904497381214,0.007635367488488663,-0.13690409025997796,-0.10697399968764632,-1.3954934973039974,0.1640486754642838
right posterior chamber depth,81,80,-0.470149249,0.668753145,-1.72459366,1.657476182,-0.587917976,0.670857127,-0.732567639,1.131614836,0.117768727,0.147861978,0.426965034,-0.992026022,2.009282015,0.62219718,0.923422417,0.934608986,0.934733956,Eye,posterior chamber depth,-2.128186578138633e-4,0.012579113924050634,-0.024867428906379413,0.024441791590751688,-0.0018975126275084595,0.9984883834941511
right total retinal thickness,1259,1311,-1.395194206,0.400374344,0.019301648,0.27757135,-1.378044586,0.40011296,-0.200072825,0.190379385,-0.017149619,0.02949958,0.561054912,0.219374474,0.332328274,0.509240225,1.101807548,0.782274467,0.707292208,Eye,total retinal thickness,0.10077754923537952,7.791356691221981e-4,0.0992504713848295,0.10230462708592954,3.6104160341135185,3.1155714436925663e-4
right vitreous humor thickness,39,48,-0.365295804,0.253475018,-4.618424771,2.177878704,0.06729746,0.243435372,2.199021278,1.979027505,-0.432593264,0.205507193,0.038429117,-6.817446048,2.941771415,0.023035397,0.273067788,0.894213364,1.006509165,Eye,vitreous humor thickness,-0.11577934509548998,0.02379619260918253,-0.16241902557866594,-0.06913966461231402,-0.7505460624939942,0.45499858486485323
rod a-wave implicit time-left,91,95,1.042823402,0.689063484,-1.219831368,1.079520015,0.148754947,0.688435932,-1.459521413,0.798273405,0.894068455,0.124622998,1.8e-11,0.239690044,1.319412716,0.85604955,0.94972893,0.86795043,0.83002597,Eye,rod a-wave implicit time,0.04491402189628926,0.010874704491725768,0.02359999274999081,0.06622805104258772,0.430698356188212,0.6671918067894489
rod a-wave implicit time-right,91,95,0.918844768,0.543075556,-0.297630724,1.059291168,1.9097e-4,0.542491017,-0.925276235,0.846607251,0.918653798,0.127530082,1.53e-11,0.627645511,1.330803557,0.637759663,0.732788191,0.858562264,0.880290602,Eye,rod a-wave implicit time,-0.024756471677226423,0.010874704491725768,-0.046070500823524874,-0.0034424425309279687,-0.23739961834240403,0.8126109086191002
rod b-wave amplitude-left,93,95,-0.564052977,0.55868736,-0.099947217,1.265344545,-0.345315412,0.556228677,-0.259527358,0.869429372,-0.218737565,0.141492305,0.123848416,0.159580141,1.511191808,0.916016284,0.750424189,1.030977172,0.903395205,Eye,rod b-wave amplitude,0.13221786035421834,0.010753931544865866,0.11114054183407207,0.1532951788743646,1.2749891559134388,0.20390340796785833
rod b-wave amplitude-right,93,95,-0.840615988,0.889035255,-1.437491161,1.028152176,-0.701792572,0.890449566,-1.280237035,0.929045668,-0.138823416,0.131750321,0.293416107,-0.157254127,1.361258094,0.908158705,1.237237046,0.833224428,0.969443092,Eye,rod b-wave amplitude,-0.1513031137413061,0.010753931544865866,-0.17238043226145236,-0.13022579522115982,-1.459030033909849,0.14624353366765463
rod b-wave implicit time-left,92,95,0.841930067,0.631187106,0.325744719,1.173825499,0.222279286,0.629879589,-1.088470389,0.845121811,0.619650781,0.134281252,7.41e-6,1.414215108,1.42270487,0.321526709,0.861096164,0.954767994,0.878439392,Eye,rod b-wave implicit time,0.0834968143821074,0.010813654430675708,0.06230244115672104,0.10469118760749377,0.8029410524915813,0.42303916396235275
rod b-wave implicit time-right,92,95,0.485679387,0.426909719,-2.310254907,1.352042011,0.163538535,0.420082405,-0.40154011,0.804317263,0.322140852,0.143479638,0.025958568,-1.908714797,1.552105552,0.220374927,0.55100387,1.104115694,0.834781758,Eye,rod b-wave implicit time,0.27980505017088436,0.010813654430675708,0.258610676945498,0.3009994233962707,2.690724947283901,0.007782663325974326
12khz-evoked abr threshold,3779,3936,0.102846231,0.180806012,-0.062897944,0.098755799,0.110025729,0.180862486,0.111968092,0.100248059,-0.007179498,0.013457256,0.593700272,-0.174866036,0.122996541,0.155149547,0.876818745,0.543492671,0.626995102,Hearing,abr threshold,-0.14291722679732188,2.594099592168396e-4,-0.1434256609746179,-0.14240879262002587,-8.873424485778107,0
18khz-evoked abr threshold,3796,3989,0.099883624,0.147753026,-0.006241232,0.100401145,0.047318369,0.147973681,0.067130896,0.117397188,0.052565255,0.015020639,4.68686e-4,-0.073372129,0.136177108,0.590040815,0.712419181,0.542971909,0.756481535,Hearing,abr threshold,-0.33161416266249555,2.571284340505046e-4,-0.3321181251326357,-0.3311102001923554,-20.680356341445364,0
24khz-evoked abr threshold,3774,3982,0.090747458,0.124488077,-0.082924392,0.129704358,-0.002773368,0.124584979,0.106764743,0.128150768,0.093520826,0.017394532,7.82e-8,-0.189689135,0.15928443,0.233736053,0.592685432,0.716442524,0.799631021,Hearing,abr threshold,-0.10984544723906607,2.5811712445672735e-4,-0.1103513475067943,-0.10933954697133784,-6.837127083595737,8.693046282814976e-12
30khz-evoked abr threshold,3623,3878,0.190842984,0.111581999,-0.255424302,0.148872882,0.015314077,0.111602179,-0.043425629,0.140021179,0.175528907,0.019487369,2.64e-19,-0.211998672,0.177779805,0.233111363,0.525440054,0.814929634,0.856208555,Hearing,abr threshold,-0.049403135038381465,2.6701097397656003e-4,-0.04992646693085248,-0.04887980314591045,-3.023360633373524,0.0025082932306015326
6khz-evoked abr threshold,3772,3918,-0.091193194,0.202828029,-0.144738846,0.093937947,-0.049784139,0.202872836,0.015378792,0.095318882,-0.041409055,0.012800368,0.001221634,-0.160117639,0.116920094,0.170895,0.986192444,0.516874154,0.595078707,Hearing,abr threshold,-0.14088930633836996,2.602395354629512e-4,-0.14139936645523077,-0.14037924622150916,-8.733561712654081,0
click-evoked abr threshold,2282,2497,-0.515553234,0.256502729,-0.247269127,0.105617172,-0.555267778,0.256521091,-0.402559696,0.109990745,0.039714547,0.013408069,0.003071702,0.155290562,0.145442266,0.285704238,0.985681579,0.435411724,0.478066844,Hearing,abr threshold,-0.09343960672564419,4.195226171607145e-4,-0.09426185594597918,-0.09261735750530921,-4.561979319838772,5.194281749165697e-6
response amplitude - bn,8791,8814,-0.039100522,0.217335758,0.389367174,0.031194952,0.02598215,0.217335222,0.386530237,0.028297184,-0.065082672,0.003844668,8.95e-64,0.002836937,0.038730457,0.941609437,1.063087076,0.252578804,0.257376177,Hearing,response amplitude,-0.018815294906134854,1.1361719106909367e-4,-0.019037980508654885,-0.018592609303614824,-1.7651800306953631,0.07755084942968749
response amplitude - pp1,8762,8801,-0.03536729,0.219686678,0.401776113,0.035026797,0.027179583,0.219686139,0.418438687,0.031789828,-0.062546873,0.004316919,2.68e-47,-0.016662574,0.043479782,0.701557,1.074220099,0.282938868,0.288970073,Hearing,response amplitude,-0.021092016013832416,1.1388929242199416e-4,-0.021315234925204277,-0.020868797102460555,-1.9764081905980058,0.04812418690737186
response amplitude - pp1_s,8762,8781,-0.146161995,0.206613161,0.312141513,0.041772369,0.016588973,0.206611613,0.41074167,0.037568439,-0.162750968,0.005124148,2.69e-215,-0.098600157,0.051655054,0.05630175,1.009276381,0.337981671,0.340496379,Hearing,response amplitude,-0.007412701467398034,1.1401871880426794e-4,-0.007636174049817799,-0.007189228884978269,-0.694206109990381,0.4875621550576119
response amplitude - pp2,8836,8841,-0.067454718,0.217068932,0.348653409,0.027285977,-0.035109265,0.217069857,0.336238707,0.025862118,-0.032345453,0.003435459,5.29e-21,0.012414702,0.034569759,0.719509402,1.062048547,0.220090665,0.236247096,Hearing,response amplitude,-0.0708386671319184,1.1315418161518232e-4,-0.07106044525258426,-0.07061688901125254,-6.659399622090078,2.8304247834398666e-11
response amplitude - pp2_s,8762,8781,-0.134724777,0.205004673,0.349829913,0.045860471,0.021502139,0.20500265,0.443882575,0.041149216,-0.156226916,0.005619251,1.66e-166,-0.094052662,0.056653177,0.096902572,1.00083859,0.371163345,0.372872892,Hearing,response amplitude,-0.004595217217262629,1.1401871880426794e-4,-0.004818689799682394,-0.004371744634842864,-0.43034619470200514,0.6669491155744716
response amplitude - pp3,8837,8843,-0.046884598,0.220435586,0.269744719,0.028834594,-0.010233346,0.220437173,0.376715658,0.027737355000000002,-0.036651252,0.003659701,1.52e-23,-0.106970939,0.036793607,0.00364989,1.078369749,0.232179241,0.253811903,Hearing,response amplitude,-0.08908375102603693,1.1313498305189572e-4,-0.08930549151821018,-0.08886201053386367,-8.375293542626387,0
response amplitude - pp3_s,8763,8781,-0.142157348,0.20718081,0.41884229,0.043957072,-0.007912074,0.207180379,0.433509992,0.040144094,-0.134245274,0.005433369,1.63e-132,-0.014667703,0.054726896,0.788689883,1.011694764,0.355027848,0.364364573,Hearing,response amplitude,-0.02595859211370061,1.1401220532439989e-4,-0.02618205192993442,-0.025735132297466802,-2.4311147669775393,0.015062394008367841
response amplitude - pp4,4300,4346,-0.016833667,0.227618631,0.1035558,0.030001714,0.004771721,0.227619532,0.141737899,0.028885377,-0.021605388,0.003490143,6.27e-10,-0.038182099,0.036808031,0.299610868,0.937455198,0.155579853,0.168590243,Hearing,response amplitude,-0.08031081794755925,2.313809163208935e-4,-0.08076431621025808,-0.07985731968486041,-5.279712579886431,1.3253118602563063e-7
response amplitude - pp4_s,4300,4346,-0.046226824,0.219963398,0.139124631,0.044008688,0.034962887,0.219963785,0.234127021,0.041381026,-0.081189711,0.005058078,3.74e-57,-0.095002391,0.053391745,0.075218245,0.904780148,0.229213846,0.240786562,Hearing,response amplitude,-0.049254281772419056,2.313809163208935e-4,-0.04970778003511788,-0.04880078350972023,-3.2380251843147247,0.0012081444163341004
response amplitude - s,8764,8783,-0.149091906,0.217767396,0.289567705,0.040224597,0.020651952,0.217764982,0.3693236,0.035591319,-0.169743859,0.004894664,6.24e-255,-0.079755894,0.049391559,0.106379017,1.064311,0.326048217,0.322104807,Hearing,response amplitude,0.012168418621468904,1.1399272416505154e-4,0.011944996987605795,0.012391840255332014,1.1397131936280602,0.2544213676704672
cardiac output,3035,2033,0.029666189,0.255741381,2.352853262,0.224333202,0.378911795,0.256090493,2.638722136,0.231430652,-0.349245606,0.028063441,4.83e-35,-0.285868875,0.317496427,0.367958476,0.44180219,0.923370549,0.931856568,Heart,cardiac output,-0.00922955441617271,4.108619374127344e-4,-0.010034829016120019,-0.008424279816225401,-0.45533683011787035,0.6488864473249585
cv,4410,4402,0.299774016,0.172665293,-1.733774651,0.148041477,0.021612976,0.17275129,-0.763688047,0.139566409,0.278161041,0.02021338,1.2e-42,-0.970086604,0.199396986,1.16e-6,0.432727901,0.93676841,0.960392527,Heart,cv,-0.024906198790475398,2.2701494314911934e-4,-0.02535113990300008,-0.024461257677950717,-1.653028066484603,0.09836078238551305
ejection fraction,3168,2178,-0.277423719,0.578643346,-0.374278323,0.10928813,-0.318473099,0.578656064,-0.27397816,0.099269864,0.04104938,0.012755217,0.001297496,-0.100300163,0.144706639,0.488259633,1.002115622,0.466113036,0.420147507,Heart,ejection fraction,0.10375051872824799,3.875519812072099e-4,0.10299093080294472,0.10451010665355126,5.270178149625025,1.4164380779391195e-7
end-diastolic diameter,1630,631,-0.209261269,0.166632582,3.785277127,0.269422592,0.355328827,0.170696741,4.817934821,0.510380314,-0.564590096,0.050353813,1.97e-28,-1.032657695,0.561346339,0.065957001,0.233415817,0.79350013,1.086904427,Heart,end-diastolic diameter,-0.31512196983769236,0.0011005875646759623,-0.3172790818262899,-0.31296485784909484,-9.498748345037983,0
end-systolic diameter,1630,631,-0.208241685,0.337161268,2.316018122,0.283515988,0.166779336,0.338950485,3.074989821,0.496357827,-0.37502102,0.049930803,8.42e-14,-0.758971699,0.554355234,0.171102079,0.47560082,0.836807066,1.054942468,Heart,end-systolic diameter,-0.23213468839674356,0.0011005875646759623,-0.2342918003853411,-0.22997757640814603,-6.997255660626214,3.426592343203083e-12
fractional shortening,3198,2210,-0.272036637,0.414971362,-0.409052445,0.103169201,-0.31652401,0.414980178,-0.37974993,0.097877655,0.044487373,0.01241021,3.40394e-4,-0.029302515,0.138814375,0.832823948,0.827937327,0.445016989,0.420352534,Heart,fractional shortening,0.056948782951300916,3.8274338507425406e-4,0.05619861970123443,0.0576989462013674,2.910922214879037,0.003618360458811587
hr,9716,8674,-0.667639724,0.366887603,0.342966774,0.045679381,-0.644039014,0.366885746,0.277093756,0.0398374,-0.023600709,0.005896675,6.3e-5,0.065873019,0.059006706,0.264280548,1.372043006,0.409655067,0.3782817,Heart,hr,0.07967016606928957,1.0911698262703112e-4,0.0794563007132389,0.07988403142534024,7.626926275908074,2.531308496145357e-14
hrv,4059,4044,0.418760578,0.149158203,-1.728314437,0.155799559,0.132362898,0.149282801,-0.762764628,0.146488777,0.28639768,0.021423028,2.46e-40,-0.965549808,0.21327999,6.06e-6,0.334284773,0.947163717,0.98078465,Heart,hrv,-0.03488141384216782,2.4688394729550385e-4,-0.035365297487228095,-0.03439753019710755,-2.219972801163442,0.0264481890187378
lvawd,1778,794,0.342926149,0.379798925,1.913935267,0.268433642,0.388338618,0.380053489,1.938715303,0.343594191,-0.045412469,0.039395543,0.249128128,-0.024780036,0.413584653,0.952227785,0.644505947,0.865107284,0.881618064,Heart,lvawd,-0.01925454514337022,9.11890124691217e-4,-0.021041816945622745,-0.017467273341117695,-0.6376201121096962,0.5237778010377572
lvaws,1748,762,0.257229605,0.575205112,1.955104514,0.275433051,0.140878772,0.575596009,0.584125804,0.359592814,0.116350833,0.040120375,0.003763601,1.37097871,0.433063124,0.001565304,0.812752213,0.86923773,0.884916301,Heart,lvaws,-0.01824723552340798,9.432351461149468e-4,-0.020095942438745653,-0.01639852860807031,-0.5941376721395507,0.552473622464601
lvidd,3197,2210,0.401705579,0.438504027,1.250260448,0.09937466,0.554035535,0.438544595,1.110671388,0.111214715,-0.152329957,0.013150552,1.15e-30,0.13958906,0.145739245,0.338206459,0.87494986,0.426262673,0.4790108,Heart,lvidd,-0.11673728580183432,3.827923201874684e-4,-0.11748754496296028,-0.11598702664070835,-5.966614558798641,2.5761961452985815e-9
lvids,3197,2210,0.362630924,0.431283333,0.862942967,0.097403056,0.491791537,0.43132058,0.951839233,0.107871104,-0.129160614,0.012806807,1.04e-23,-0.088896266,0.142006023,0.531339113,0.860574194,0.417935032,0.464527319,Heart,lvids,-0.10576427690139353,3.827923201874684e-4,-0.1065145360625195,-0.10501401774026757,-5.405767917474997,6.730041590685687e-8
lvpwd,3197,2210,0.642173903,0.528241941,0.814282736,0.141001566,0.768573813,0.528275107,1.216843633,0.143087454,-0.126399909,0.017604509,7.92e-13,-0.402560897,0.196142576,0.040179956,1.053347757,0.606629102,0.615254497,Heart,lvpwd,-0.01418832996923809,3.827923201874684e-4,-0.014938589130364053,-0.013438070808112127,-0.7251864353194071,0.4683690573689554
lvpws,3167,2178,0.376978929,0.64878291,0.456268875,0.094256975,0.458712836,0.648792576,0.653679064,0.086673217,-0.081733907,0.01106957,1.78e-13,-0.197410189,0.125500601,0.115782233,1.123642583,0.401679109,0.366897121,Heart,lvpws,0.09050030315638359,3.8760184795329103e-4,0.08974061749405397,0.09125998881871321,4.596815939010465,4.388796601695333e-6
mean r amplitude,4561,4532,-0.363448758,0.472280007,0.59522082,0.144263065,-0.518912577,0.472285925,1.036363306,0.132618759,0.155463819,0.019446918,1.46e-15,-0.441142486,0.194462602,0.023320837,1.153651656,0.922422532,0.931871339,Heart,mean r amplitude,-0.01019206242916736,2.2000003871961961e-4,-0.010623254581655231,-0.009760870276679488,-0.6871486483276568,0.49200658867362224
mean sr amplitude,4055,4042,-0.290437651,0.497772334,0.562229053,0.155953089,-0.461732817,0.497821785,0.871733378,0.144102575,0.171295166,0.021256144,8.82e-16,-0.309504325,0.211744145,0.143864996,1.204738339,0.947902973,0.964468032,Heart,mean sr amplitude,-0.017324936072858357,2.470667273666429e-4,-0.017809177960275153,-0.01684069418544156,-1.1022104125447445,0.27040297467900887
pnn5(6>ms),1294,902,0.035669049,0.105382801,-1.082160484,0.316229066,-0.183515278,0.107031036,-0.496610745,0.328803134,0.219184327,0.042283227,2.37e-7,-0.585549739,0.450368665,0.193684344,0.201351183,0.952462872,0.989201678,Heart,pnn5(6>ms),-0.03801534660674564,9.416365591896261e-4,-0.03986092034928353,-0.03616977286420775,-1.238845930876956,0.21553507894974522
pq,4059,4044,-0.317385601,0.204013899,-0.006752558,0.165690586,-0.294669487,0.204038019,0.681801447,0.144379933,-0.022716114,0.021932968,0.30037010200000003,-0.688554005,0.21917422,0.00168643,0.470601356,1.007605487,0.966203877,Heart,pq,0.041956668201866935,2.4688394729550385e-4,0.04147278455680666,0.04244055184692721,2.670266252882913,0.007594243025948577
pr,6520,6465,0.948835586,0.589508433,9.08e-5,0.085840349,0.913786708,0.589504643,0.274179728,0.076292782,0.035048878,0.011590151,0.002499255,-0.274088937,0.111667173,0.014120454,1.862926567,0.673737589,0.646714905,Heart,pr,0.040934492701376154,1.5405036534486398e-4,0.04063255953349498,0.041236425869257326,3.2980561572073843,9.761840523760945e-4
qrs,6518,6464,0.472296761,0.388788218,-0.964584373,0.102071978,0.395001329,0.388801156,-0.43882328,0.098016984,0.077295432,0.01432063,6.88e-8,-0.525761094,0.137573202,1.33163e-4,1.226582103,0.798573682,0.832479813,Heart,qrs,-0.041582375032623804,1.5408587179518898e-4,-0.04188437779186883,-0.04128037227337878,-3.3498694413854584,8.108001143900534e-4
qtc,5322,5267,0.85600306,0.518466622,-0.011822017,0.048389328,0.8514668,0.518466896,0.133156624,0.044286444,0.00453626,0.006358926,0.475633236,-0.144978642,0.063991419,0.02349632,1.639157192,0.327586798,0.326702444,Heart,qtc,0.0027022711449337265,1.8891602706686483e-4,0.0023320025357802775,0.0030725397540871755,0.1966049834684088,0.844140444240248
qtc dispersion,4557,4529,-0.052412195,0.419179611,-0.815115388,0.103951717,-0.052807544,0.419168717,-0.744750741,0.089716904,3.95348e-4,0.013584418,0.976783027,-0.070364646,0.136292417,0.605673503,1.02500357,0.664737543,0.629730599,Heart,qtc dispersion,0.05409950463938401,2.201694189621421e-4,0.053667980507721105,0.054531028771046916,3.6459842678200745,2.678588277968963e-4
respiration rate,2315,1595,-0.385716671,0.598277174,0.389001958,0.227025113,-0.247277127,0.598408726,0.891348753,0.1638855,-0.138439544,0.023959324,8.14e-9,-0.502346795,0.279050551,0.071906234,0.960495217,0.819463204,0.598475064,Heart,respiration rate,0.3141670364297575,5.297523448454609e-4,0.31312874091313475,0.3152053319463803,13.649733476190034,0
rmssd,4059,4044,0.143384653,0.06766179,-2.118439429,0.158603627,-0.031885043,0.067812717,-0.944549897,0.148078525,0.175269696,0.021742074,8.63e-16,-1.173889532,0.21650976,6.07e-8,0.129522749,0.964557559,0.992287075,Heart,rmssd,-0.02834340455836892,2.4688394729550385e-4,-0.028827288203429193,-0.027859520913308646,-1.8038714685322068,0.07128859152150646
rr,6520,6465,1.09940534,0.658399213,-0.631525467,0.051984809,1.034294595,0.658397718,-0.382947178,0.045899839,0.065110745,0.006997161,1.55e-20,-0.248578289,0.067431893,2.28411e-4,2.081628372,0.408118321,0.389009883,Heart,rr,0.047951732742226395,1.5405036534486398e-4,0.047649799574345224,0.04825366591010757,3.8634290297176697,1.1234983579866409e-4
st,5646,5636,-0.030643416,0.436545897,0.029500739,0.06742611,-0.039928582,0.436550058,0.164292395,0.060845958,0.009285167,0.009408771,0.323731055,-0.134791656,0.088160266,0.126307671,1.306430667,0.506277545,0.49292075,Heart,st,0.026736459017909418,1.773051038877445e-4,0.026388947400014306,0.02708397063580453,2.007905503153719,0.044677134318156675
stroke volume,3036,2033,0.253327547,0.5127793,1.887202977,0.1603712,0.505291507,0.512887404,1.714099244,0.17248406,-0.251963959,0.020548549,4.4e-34,0.173103732,0.232034044,0.455685557,0.887863959,0.659600796,0.69473882,Heart,stroke volume,-0.05198249724328226,4.1080763792499577e-4,-0.05278766541818922,-0.0511773290683753,-2.5647077515203867,0.010354824483920222
basophil cell count,3423,3463,-0.454211539,0.160958577,0.241183568,0.173129738,-0.144592599,0.160850855,0.586656177,0.174797495,-0.30961894,0.021802708,3.92e-45,-0.345472609,0.233926546,0.139763828,0.742744839,0.910961339,0.893241266,Hematology,basophil count,0.0196454274974948,2.9053857173871715e-4,0.019075982360767206,0.02021487263422239,1.1525494960352385,0.24913536331536745
basophil differential count,4218,4256,-0.052723497,0.163295014,0.166654369,0.107360979,-0.078570977,0.16324568,0.3959979,0.101333224,0.02584748,0.013642213,0.058170372,-0.229343532,0.131501525,0.081189005,0.795007592,0.641519987,0.611956663,Hematology,basophil count,0.04717993120986959,2.3607651531891926e-4,0.04671722974224879,0.04764263267749039,3.070654192681471,0.002142668850318774
eosinophil cell count,4236,4278,-0.373607281,0.218671398,0.099869024,0.112646383,-0.108164584,0.218670299,0.033122517,0.109464,-0.265442698,0.014698892,1.46e-71,0.066746509,0.13651612900000001,0.624905558,1.008651674,0.672131629,0.682182572,Hematology,eosinophils,-0.014841965685586437,2.3496812665091196e-4,-0.01530249475133707,-0.014381436619835803,-0.9682487522322961,0.33294766216657523
eosinophil differential count,4669,4651,-0.138608121,0.188646588,-0.078353055,0.084445352,-0.148474033,0.188628725,0.020263738,0.079677804,0.009865911,0.010810904,0.361482455,-0.098616793,0.10219397,0.334571821,0.90271643,0.531785554,0.510472762,Hematology,eosinophils,0.04090261881691149,2.1463913536224672e-4,0.04048193384192867,0.04132330379189431,2.7918794355430534,0.005250961243093766
eosinophils,1086,1076,-0.014707897,0.22970573,-0.684834605,0.276686459,-0.108025868,0.229904171,0.233953991,0.261812665,0.093317971,0.034938982,0.007622147,-0.918788596,0.341663715,0.007218474,0.603120064,0.788268352,0.834964759,Hematology,eosinophils,-0.05755522584792669,9.259457721573251e-4,-0.059370046212992175,-0.0557404054828612,-1.8914374595924788,0.058699646138229866
hematocrit,10122,10015,-0.176999512,0.1430924,-0.039681337,0.067936548,-0.058276754,0.143169533,0.179408232,0.0790642,-0.118722757,0.010530924,2.17e-29,-0.219089569,0.093447548,0.019061315,0.942302184,0.659391886,0.824089902,Hematology,hematocrit,-0.22296213075578705,9.933233084392255e-5,-0.22315681854674155,-0.22276744296483256,-22.37102035237555,0
hemoglobin,10123,10015,-0.167636812,0.107832367,0.049117253,0.065654472,-0.149079077,0.107971216,0.301102983,0.080905178,-0.018557735,0.0105898,0.079717542,-0.251985731,0.093754532,0.007200141,0.706603279,0.633923335,0.85102674,Hematology,hemoglobin,-0.29451605826936683,9.932745016490844e-5,-0.29471073649436624,-0.2943213800443674,-29.551146568320142,0
large unstained cell (luc) count,3168,3252,-0.175587819,0.11574774,0.070098284,0.178880362,0.408083154,0.115803951,0.925634592,0.173959966,-0.583670973,0.021285727,1.3e-156,-0.855536308,0.217413471,8.41e-5,0.441302492,0.833588686,0.86827407,Hematology,luc,-0.04076323593295359,3.1167694922171576e-4,-0.04137411152823947,-0.04015236033766771,-2.308959474243713,0.02097743940218688
large unstained cell (luc) differential count,3342,3333,0.016282405,0.131664591,0.714440856,0.170321992,0.238819946,0.131670171,0.655177931,0.16255894,-0.222537541,0.02024017,7.02e-28,0.059262925,0.202323378,0.769598621,0.504047352,0.823125875,0.82863598,Hematology,luc,-0.006672220054494801,2.997158156887418e-4,-0.00725965225884178,-0.006084787850147821,-0.38540339036753424,0.6999508555262799
lymphocyte cell count,4580,4542,-0.127334874,0.116251109,0.013898973,0.130446059,0.393731452,0.116231733,-0.261329776,0.125392485,-0.521066329,0.016881018,4.73e-199,0.275228725,0.158943221,0.083375743,0.521380741,0.811864685,0.798908475,Hematology,lymphocytes,0.016086378659594357,2.193020529413431e-4,0.015656554534093627,0.016516202785095087,1.0862678819374345,0.277389202390951
lymphocyte differential count,4876,4812,0.13875554,0.10037951,-0.16824771,0.098907046,-0.063642957,0.101105944,-0.669470468,0.147216428,0.202398497,0.017314702,2.35e-31,0.501222757,0.161241219,0.001885684,0.484695003,0.605641252,1.038554748,Hematology,lymphocytes,-0.5392989072923033,2.0649259975803313e-4,-0.5397036253509031,-0.5388941892337036,-37.52989024055577,0
mean cell hemoglobin concentration,10112,10014,0.030154616,0.118178867,0.090575856,0.06413278,-0.106624933,0.118224987,0.107971733,0.069907119,0.136779549,0.009526549,1.62e-46,-0.017395877,0.08477294,0.837413616,0.777052664,0.626397511,0.720453901,Hematology,mean cell hemoglobin concentration,-0.13989674425785334,9.938617725944502e-5,-0.14009153758584297,-0.1397019509298637,-14.032809006551261,0
mean cell volume,10142,10033,0.257298985,0.155851991,0.291942675,0.059559845,0.138038824,0.155854829,0.424175583,0.059603099,0.119260161,0.008405973,1.81e-45,-0.132232908,0.075120834,0.078377321,1.029591401,0.587691069,0.605297265,Hematology,mean cell volume,-0.02951880320059964,9.914531265456898e-5,-0.029713124442638558,-0.029324481958560723,-2.964576436120863,0.003034543282218305
mean corpuscular hemoglobin,10092,9996,0.236610087,0.098545125,0.204967461,0.070329582,-0.034862795,0.098631595,0.326517908,0.07855014,0.271472882,0.010610928,4.34e-142,-0.121550446,0.094361703,0.197714455,0.643931525,0.684872571,0.812106655,Hematology,mean corpuscular hemoglobin,-0.1703993627480353,9.95741156674859e-5,-0.170594524428536,-0.1702042010675346,-17.07633779687359,0
mean platelet volume,7855,7779,0.071440173,0.187148257,0.065173721,0.033727308,0.012631051,0.187148187,0.063632871,0.036377919,0.058809116,0.004639032,1.2e-36,0.001540842,0.047943698,0.974361947,1.07410024,0.284761161,0.294716776,Hematology,mean platelet volume,-0.03436463851488517,1.2794570597120776e-4,-0.03461540749056529,-0.034113869539205054,-3.0380780181704554,0.0023848520164444498
monocyte cell count,4582,4542,-0.110783516,0.116740985,0.80222767,0.11569225,0.244001313,0.116774747,0.602193577,0.115632694,-0.354784829,0.015298097,1.2e-115,0.200034093,0.143697709,0.163941917,0.52599726,0.717185083,0.742362883,Hematology,monocytes,-0.034505203119924936,2.192543803165041e-4,-0.03493493380879793,-0.03407547243105194,-2.3302925622450514,0.01981238750628722
monocyte differential count,4868,4804,0.08633216,0.152852641,0.949320281,0.10976955,0.093892283000000007,0.152860991,0.809667343,0.108474518,-0.007560122,0.01436657,0.598740424,0.139652921,0.136447099,0.306099536,0.728922123,0.699356332,0.71203166,Hematology,monocytes,-0.017963359323128075,2.0683429270650094e-4,-0.018368747087600633,-0.017557971558655516,-1.2490398209790408,0.2116807440334858
