parameter_name,f_n,m_n,f_intercept,f_intercept_se,f_slope,f_slope_se,m_intercept,m_intercept_se,m_slope,m_slope_se,fm_diff_int,fm_diff_int_se,fm_diff_int_p,fm_diff_slope,fm_diff_slope_se,fm_diff_slope_p,group_sd,g_slope_sd,batch_sd,f_sd,m_sd,Category,parameter_group,lnVR,VlnVR,low_lnVR,high_lnVR,t_val_sd,p_val_sd
cone b-wave amplitude-left,93,95,-0.884382296903867,1.01311287149679,0.933786000205846,1.66222387741157,-0.895432209515672,1.01056768482057,0.738600720028659,1.28585753185228,0.0110499127192058,0.136246993696397,0.935484559216463,0.195185279248184,1.48048745038317,0.895314287890154,1.4080032200000001,1.370900223,0.004964014,1.05766750046311,0.787780891,Eye,cone b-wave amplitude,0.29472207011114815,0.010990338164251209,0.27318140313129974,0.31626273709099656,2.811299602674446,0.005463068815629191
cone b-wave amplitude-right,93,95,-1.08040991075597,1.31673272611126,2.31495758910373,2.98501580776711,-1.26094522674305,1.31834034652746,0.969213548838497,2.97688181997912,0.180535316067552,0.122381049711271,0.142560846919373,1.34574403946152,1.26521005125283,0.289442810811121,1.8429315,3.9230134,0.2126334,0.72179557102468,0.9414328,Eye,cone b-wave amplitude,-0.2655402409630255,0.010990338164251209,-0.2870809079428739,-0.24399957398317706,-2.5329395034172317,0.012137129001053015
cone b-wave implicit time-left,93,95,1.16277705642494,1.1433954726985,-0.966879927496853,2.35449538003099,0.844037437247294,1.1417025493521,-3.48036871250095,2.14318825912268,0.318739619182268,0.121343002200729,0.00964768750796027,2.51348878505298,1.35387419471291,0.0656264789617268,1.5863281,2.7120879,0.4054642,0.9370484,0.700920822084941,Eye,cone b-wave implicit time,0.29046077736172193,0.010990338164251209,0.2689201103818735,0.31200144434157034,2.7706519151469275,0.006162355955388943
cone b-wave implicit time-right,93,95,1.64823045449777,1.53051869606539,-5.73125167089405,6.98476511412257,1.17089147559899,1.53017786961043,-7.25305263312138,6.92409188914305,0.477338979625277,0.118354439583175,9.29411743927734e-5,1.52180094940607,1.31292134259658,0.248525803284886,2.12695,9.5422685,0.4070131,0.89012734373528,0.7137213,Eye,cone b-wave implicit time,0.22099275828214848,0.010990338164251209,0.19945209130230007,0.2425334252619969,2.1080092621439332,0.03636970091464886
eye size-left,93,95,1.01406512250369,1.39522154841383,5.44302048386412,5.45885218192282,1.34306347727241,1.39483870103297,5.62039970812238,5.43572292680733,-0.32899834803271,0.0678269984673776,3.43485566818608e-6,-0.177379231364361,0.754121687951697,0.814410697794227,1.9690418,7.6551966,0.2713202,0.504683474277964,0.4154966,Eye,eye size,0.19457779075339593,0.010990338164251209,0.17303712377354752,0.21611845773324434,1.8560417468158998,0.06502950315801703
eye size-right,93,95,0.845310079130605,1.23004733691831,7.34790369041955,8.03180092338014,1.14058537954122,1.22926444509529,7.73718620990189,8.01034106141855,-0.295275300392703,0.0677527260538744,2.62775328354016e-5,-0.389282519452887,0.766264486046115,0.612289256515947,1.7355288,11.3061131,0.2733222,0.5435206,0.360914920689318,Eye,eye size,0.40954612747788677,0.010990338164251209,0.38800546049803836,0.4310867944577352,3.9065851601179085,1.309225863197483e-4
interpupillary distance,202,201,-0.0969691693846218,0.298045885491116,1.06788862908895,1.0334240657518,0.537579949008175,0.296897763057301,1.77535818139936,0.879118688866323,-0.634549118271525,0.0843037289006482,7.71318937522705e-13,-0.707469552238827,1.01832415650846,0.487814054432336,0.4871801,1.0388793,0.2855553,0.864155149030249,0.7935688,Eye,interpupillary distance,0.08519939292716079,0.005037815339322877,0.07532545630132452,0.09507332955299706,1.2003706777329815,0.23070404626750296
left anterior chamber depth,118,120,0.158458285337904,0.345802564876838,3.25216933180273,0.964106670242232,0.52268601158676,0.342140754793872,1.06827481822555,0.582865299087361,-0.364227726246149,0.0821855968952249,2.10528253060546e-5,2.18389451358241,1.02923384266897,0.0359407293026745,0.75824594,0.03389513,0.42824125,0.60733762,0.463146569191824,Eye,left anterior chamber depth,0.27111560099857224,0.008621330360460797,0.25421810399324735,0.28801309800389713,2.9198958823627437,0.0038405051191747752
left corneal thickness,118,120,-0.183412491983202,0.308354201905505,-0.75388777321089,1.30650746062581,-0.298595050769203,0.303075908441865,-0.587758109451323,0.963752258176923,0.115182558844126,0.0956639644049614,0.230986546467286,-0.166129663523039,1.19081516186571,0.889285625546992,0.6454086,1.4473832,0.3697014,0.7459034,0.570846109022087,Eye,corneal thickness,0.26755076102951286,0.008621330360460797,0.25065326402418797,0.28444825803483775,2.8815028075688165,0.004322497207165155
left inner nuclear layer,133,135,0.691301773899179,0.345791691958846,1.1741909621307,0.917041596729743,0.612298685429627,0.344780821079333,0.319658784340471,0.760772568905804,0.0790030884677607,0.094646783824569,0.40527052502406,0.854532177785868,1.08316785161077,0.431465105438967,0.76958683,0.03643387,0.18729221,0.692635185176154,0.79977027,Eye,inner nuclear layer,-0.14376281660997636,0.007634032634032634,-0.15872524562948376,-0.12880038759046897,-1.6453927025265396,0.10106995221007975
left outer nuclear layer,133,135,-0.140330486449514,0.58451527060067,0.0580730790099156,0.252297799410926,-0.125778128135392,0.584403812924346,0.0253983668039916,0.185815064527303,-0.0145523583260878,0.0233409868100595,0.533970208415543,0.0326747122158594,0.277885547239336,0.906562794550905,1.34315467,0.01070622,0.71597174,0.140214842548903,0.12675888,Eye,outer nuclear layer,0.10094741183431626,0.007634032634032634,0.08598498281480885,0.11590984085382366,1.155362274389377,0.24897886456476437
left posterior chamber depth,84,82,-0.564439806124194,0.743912660455022,-0.0680177820834604,1.6321243463361,-0.662390795583102,0.741936042268739,-0.57082210871945,0.970538390611376,0.0979509894630624,0.119653297666122,0.416087122460278,0.502804325817088,1.69532209550842,0.767760189890978,1.0181713,0.7373706,0.8104765,0.666358541826476,0.3858455,Eye,posterior chamber depth,0.5462345720819237,0.012501953430223471,0.5217311936222887,0.5707379505415587,4.885288831420827,2.4383369801039834e-6
left total retinal thickness,1280,1321,-1.28067839951803,0.385380587135149,0.328646658062818,0.284172273846416,-1.25150221638545,0.384961428237482,-0.0849321648348391,0.162556159130497,-0.0291761841319994,0.0266746635400832,0.274170839698791,0.413578822776519,0.312201506974904,0.185401432088158,1.04632956,0.01141908,0.38990556,0.766792028491872,0.49905792,Eye,total retinal thickness,0.429505634153604,7.709053488651204e-4,0.42799468743433905,0.4310165808728689,15.46921714088704,0
left vitreous humour thickness,38,45,-0.665053643185736,0.33590631410985,-5.3355045888293,2.29774178028222,-0.0974928119767274,0.314558719175246,2.83910966458958,1.87329327232461,-0.56756083120588,0.202666629883982,0.00673977890771626,-8.17461425352348,2.94467514517196,0.00720697775563605,0.4550604,0.1716936,0.1584227,0.9171184,0.887982495750262,Eye,vitreous humor thickness,0.034665502182479394,0.026190476190476188,-0.01666688788880772,0.0859978922537665,0.2142031231112323,0.8309269765852341
right anterior chamber depth,116,121,0.0416008155238602,0.18546242270753,0.907166456443894,1.66118072901742,0.296173821845026,0.140348237955968,0.122774190640232,0.26894019956389,-0.254573006309521,0.124639767613424,0.0433144849885177,0.784392265846929,1.6649332643377,0.638413753013465,0.31222258,0.03687125,0.14785894,1.31303717,0.207591836000704,Eye,anterior chamber depth,1.8447118488474556,0.008662066896655166,1.8277345096983348,1.8616891879965765,19.82064442834291,0
right corneal thickness,117,121,-0.195476186053631,0.200733030219369,0.356775997745916,0.825331381570433,-0.137229832622372,0.216259635172977,0.166196119459452,1.03611751557781,-0.0582463534319295,0.114461627289252,0.611776092442408,0.19057987828956,1.22006708867984,0.876134369984239,0.3535957,0.2002814,0.4301964,0.4157633,1.06908980509913,Eye,corneal thickness,-0.9442981312914659,0.008623253047873921,-0.961199396694874,-0.9273968658880578,-10.168890362679603,0
right inner nuclear layer,130,134,0.733463228627421,0.353893291362332,0.710600087280419,1.03304886827118,0.530894806828292,0.351596120804777,-0.14809689011419,0.757373825710481,0.202568542293231,0.0938598512570764,0.0325934179478885,0.85869743763378,1.11476272138848,0.442403883901887,0.7572557,0.436167,0.4625671,0.686048594946553,0.666345,Eye,inner nuclear layer,0.029261122878988237,0.007753801767145518,0.014063950672119997,0.04445829508585648,0.3323025248414076,0.7399265364211371
right outer nuclear layer,130,134,-0.0879863531353266,0.597544339316052,0.343588124620651,0.29234514772159,-0.100097136270946,0.597468580596819,0.221226852013538,0.261774663803186,0.012110782857991,0.0231475847780263,0.60165156297246,0.122361272763173,0.269852927888627,0.650926341892194,1.3870946,0.4056428,0.6751187,0.119328979456394,0.1422066,Eye,outer nuclear layer,-0.17527650374857912,0.007753801767145518,-0.19047367595544734,-0.1600793315417109,-1.9905191260739894,0.047572699141543495
right posterior chamber depth,81,80,-0.461963783608073,0.669541381312275,0.719211651533407,2.74513513995464,-0.604218974421979,0.669713066881562,0.854214288873095,2.44240296407676,0.142255190806613,0.144260038672114,0.328042753216698,-0.135002637229833,1.96418750221577,0.945431455134202,0.9197606,3.0421623,0.540199,0.76796559750581594,0.7719055,Eye,posterior chamber depth,-0.005200446058920478,0.012903762903762904,-0.030491356615339752,0.020090464497498798,-0.04578069787736222,0.9635424915250279
right total retinal thickness,1259,1311,-1.34863772526616,0.394570297022976,0.660271524254723,0.335575667761869,-1.33569135401872,0.394296667547054,0.498026321934896,0.273185937426504,-0.0129463708606786,0.0268666715790647,0.629943113081597,0.162245206077829,0.309081477500826,0.599687135794597,1.074851,0.4131656,0.3524965,0.708193846531799,0.5851462,Eye,total retinal thickness,0.19087194639197083,7.803521689164184e-4,0.18934248424563693,0.19240140853830473,6.832769673468729,1.0363931934875836e-11
right vitreous humor thickness,39,48,-0.36437634274105,0.283256153937133,-3.68702430542673,2.92462734539333,0.0433932147662524,0.2778976178471,2.67312498932135,2.80746153731888,-0.407769557577565,0.198508724739257,0.043806380390275,-6.36014929498741,2.95400323357411,0.034864004723857,0.2994511,2.2886414,0.2704524,0.8619078,0.96519450019406,Eye,vitreous humor thickness,-0.11040355347089086,0.025,-0.1594026530843922,-0.06140445385738951,-0.6982533814884065,0.48692465911361005
rod a-wave implicit time-left,91,95,1.34609841567265,0.991755667526075,-3.57416956442449,3.13897821645671,0.454563683721776,0.991572930398174,-4.00369698887597,3.04243316026003,0.891534810945397,0.117812169600243,6.37054826526487e-12,0.429526690184826,1.27850551586678,0.737446863163212,1.3676373,4.0105687,0.2898558,0.827663190270948,0.7712431,Eye,rod a-wave implicit time,0.07084970350370785,0.011116600790513834,0.049061566323791245,0.09263784068362446,0.6719733230420567,0.5024435436258761
rod a-wave implicit time-right,91,95,1.17676986669704,0.798407504893537,-2.14083521463105,2.58584845113578,0.258230307960492,0.798100118826135,-2.90304409534117,2.49551620069798,0.918539559025323,0.123131082754936,1.1284196591579698e-11,0.762208879624469,1.30439619803265,0.560013121408779,1.0787246,3.0951048,0.2335873,0.825311160840222,0.8509056,Eye,rod a-wave implicit time,-0.030293678646840173,0.011116600790513834,-0.05208181582675678,-0.008505541466923568,-0.28732010016696885,0.7741905553338224
rod b-wave amplitude-left,93,95,-1.36272891771396,1.3609704995646,5.67540249391881,7.19990608390117,-1.15903430043889,1.36120888195057,5.98831415257167,7.13912113088728,-0.203694616896559,0.130006382022975,0.119572776947131,-0.31291166316728,1.42186905508454,0.826158702699067,1.8753355,9.7508594,0.3636538,0.945112238095514,0.8250712,Eye,rod b-wave amplitude,0.13595477821830024,0.010990338164251209,0.11441411123845183,0.15749544519814865,1.2968476159340823,0.19629007664148101
rod b-wave amplitude-right,93,95,-1.3542326617127,1.4256891520125199,3.27539224885586,5.22496489006124,-1.23504362701728,1.4271325958377,3.40830898158963,5.20616531010054,-0.119189034536219,0.130103660625145,0.3612934861105,-0.132916733850743,1.34053427965408,0.921169105146443,1.992250447,7.132176678,0.005174012,0.812903421,0.965328356527659,Eye,rod b-wave amplitude,-0.17173522721322043,0.010990338164251209,-0.19327589419306884,-0.15019456023337202,-1.6381507358700858,0.10308078965996081
rod b-wave implicit time-left,92,95,1.21205271641384,1.01016908275475,-2.8188216806976,3.644545206152,0.598903464423505,1.01005209088064,-4.32949741217339,3.54702661310313,0.613149251856889,0.128368172179389,4.73786051053482e-6,1.51067573192506,1.38284060549798,0.276658417137686,1.3868896,4.6804389,0.2687653,0.910418157838941,0.8376059,Eye,rod b-wave implicit time,0.08353949952816853,0.01105276013678554,0.06187648773030888,0.10520251132602818,0.7946145197817432,0.427855954420715
rod b-wave implicit time-right,92,95,0.613498868909463,0.576639347418323,-3.42373801434209,2.03970122165102,0.295607386681363,0.572377351683218,-1.56109266925933,1.71704257382636,0.317891482095502,0.14192561593381,0.0267994078214824,-1.86264534404971,1.54343036517333,0.229692209612419,0.753518,1.8827486,0.1445668,1.09320867760728,0.8224173,Eye,rod b-wave implicit time,0.28480765627388943,0.01105276013678554,0.26314464447602975,0.3064706680717491,2.7090454251994966,0.007381377435801806
12khz-evoked abr threshold,3779,3936,0.104749212648999,0.181134828029856,0.0396512571520777,0.112109102909443,0.100665549782434,0.181175091474793,0.169871598559849,0.110242115790374,0.00408366286665603,0.0115397986938283,0.723445354745633,-0.130220341437273,0.106842623026029,0.222971596581443,0.8762952,0.2468695,0.3392855,0.435099935177,0.5026829,Hearing,abr threshold,-0.14437852722907432,2.595446719845548e-4,-0.14488722543854332,-0.14386982901960532,-8.961826842877096,0
18khz-evoked abr threshold,3796,3989,0.102457213004909,0.145450764829104,0.0812000878815336,0.117272173708341,0.0354549495287018,0.145628420420253,0.165429853347262,0.125923555504106,0.0670022634768531,0.0133526050324534,5.38985310570658e-7,-0.0842297654917785,0.122356629775914,0.491233080568459,0.6983021,0.2376083,0.3410621,0.444593285464083,0.6417833,Hearing,abr threshold,-0.3670844260336441,2.572608135857521e-4,-0.36758864796290563,-0.3665802041043826,-22.886487266818747,0
24khz-evoked abr threshold,3774,3982,0.0982351909556807,0.120565217441539,-0.012121326339894,0.219817270258508,4.8921789360269e-4,0.120709390826252,0.144192872257798,0.217248885671945,0.0977459730663333,0.0159872451616705,1.03977687552514e-9,-0.156314198611786,0.148137333565893,0.291382011178587,0.5696954,0.7346062,0.3691835,0.615147862765171,0.6935027,Hearing,abr threshold,-0.11988553576201298,2.582505382107829e-4,-0.12039169751589421,-0.11937937400813176,-7.460126139677945,9.592326932761353e-14
30khz-evoked abr threshold,3623,3878,0.199349803755636,0.109622772954232,-0.0635913831997093,0.200317208352566,0.0223411972988654,0.109697779477971,0.031037488177836,0.193011980395035,0.177008606481419,0.0181444777690851,2.71952232440414e-22,-0.0946288714611377,0.167545790855371,0.572238373612678,0.5120139,0.5274665,0.3880781,0.717136507371657,0.7552082,Hearing,abr threshold,-0.05171817420566063,2.671538050258421e-4,-0.05224178604184412,-0.05119456236947715,-3.164189627978722,0.0015613688115276858
6khz-evoked abr threshold,3772,3918,-0.0980881515800759,0.204221309281035,-0.110609814175701,0.0944491933576605,-0.0629952805588512,0.204267609283135,0.0107110023295224,0.0955390171398237,-0.035092871044758,0.0106172971118704,9.5512864095572e-4,-0.121320816321034,0.0978710155602869,0.215177927138939,0.9904706,0.1532089,0.3672165,0.37650500945329,0.475946,Hearing,abr threshold,-0.23436810268307798,2.603751041551245e-4,-0.2348784285096929,-0.23385777685646306,-14.524419232407032,0
click-evoked abr threshold,2282,2497,-0.501888044526356,0.251052579923876,-0.265861730462886,0.115975988976047,-0.556648635576665,0.25105835611475,-0.428068828687376,0.117361070701476,0.0547605906224086,0.0114531431005494,1.82332187239748e-6,0.162207101448028,0.12733448015078,0.202806582471132,0.9613354,0.217743,0.3114901,0.337063556225,0.3657131,Hearing,abr threshold,-0.08155872619886256,4.198756260307757e-4,-0.08238166730386909,-0.08073578509385604,-3.980247718378521,6.986485018845023e-5
response amplitude - bn,8791,8814,-0.0395722107590656,0.217991228208103,0.334343020816073,0.0573360552314164,0.0255411129352453,0.217990724697148,0.331720813531554,0.0560689942260957,-0.0651133236987048,0.00389852394082939,4.62862207646617e-62,0.00262220723076492,0.0382733107160273,0.945378440985957,1.0658763,0.1890402,0.0782861,0.2389342,0.244012070327789,Hearing,response amplitude,-0.02102934388881342,1.1364301471342226e-4,-0.021252080104746284,-0.020806607672880558,-1.9726695910806065,0.048548842267913894
response amplitude - pp1,8762,8801,-0.0354620089033506,0.218525276909933,0.343096752668911,0.0629138612095206,0.0261510059497781,0.218524488854772,0.345581449434489,0.0613680672471934,-0.0616130148144266,0.0043771170686787,1.02959043600576e-44,-0.00248469651030671,0.0429150759346124,0.953830663348906,1.0679446,0.20343976,0.09308306,0.267533088946558,0.27183656,Hearing,response amplitude,-0.015957494614158865,1.1391524000215828e-4,-0.01618076438185333,-0.0157342248464644,-1.4951122222648965,0.13490312544431982
response amplitude - pp1_s,8762,8781,-0.139762473431081,0.201475853245713,0.0977760060902232,0.110386497252474,0.027714408668926,0.201475010353784,0.173779699422292,0.109255805647237,-0.167476882117354,0.00510685718871749,7.965794466197568e-228,-0.0760036933443474,0.0496794216125742,0.126066950954591,0.9823838,0.4643186,0.1400077,0.305072490356337,0.309811,Hearing,response amplitude,-0.015412888905182316,1.1404472530171811e-4,-0.015636412459400447,-0.015189365350964185,-1.4432662178681106,0.14896334982151238
response amplitude - pp2,8836,8841,-0.0683837210011529,0.216456906174165,0.276972403545474,0.0462731655960399,-0.0331543980057673,0.216457798857661,0.259700814624911,0.0456366056679565,-0.0352293230619241,0.00347176308322885,4.07174316993509e-24,0.0172715887942072,0.0338566544613154,0.609961816487366,1.05855873,0.14574681,0.08653237,0.20375164,0.219834813732606,Hearing,response amplitude,-0.07597458446335102,1.1317979515142395e-4,-0.07619641278562543,-0.07575275614107661,-7.141408590759345,9.596767824859853e-13
response amplitude - pp2_s,8762,8781,-0.128634580350418,0.200846210405193,0.143860836677037,0.108999471823121,0.0321692275988109,0.200845081754498,0.210476874984425,0.107580920209109,-0.160803807995634,0.00559858732299481,1.24715481110787e-176,-0.0666160385619966,0.0544436974458099,0.22113129607935,0.9783892,0.4431851,0.1569112,0.334481407035982,0.3386211,Hearing,response amplitude,-0.012300365938605654,1.1404472530171811e-4,-0.012523889492823785,-0.012076842384387523,-1.151808900707516,0.24941530781363763
response amplitude - pp3,8837,8843,-0.0505116437573509,0.219878467994108,0.161510582065535,0.0544685210531581,-0.0113818203729179,0.219879856792594,0.265552993174557,0.0540469910211419,-0.0391298233999837,0.00369702299811768,4.36226224966041e-26,-0.104042411179411,0.0359565524703684,0.00381450705676465,1.07505492,0.18067673,0.09621656,0.213825278884515,0.23477632,Hearing,response amplitude,-0.0934739649321148,1.1316058789723375e-4,-0.09369575560886276,-0.09325217425536683,-8.78704938514893,0
response amplitude - pp3_s,8763,8781,-0.138302537986786,0.201971376153432,0.237044815033912,0.0998464068417903,5.8626826394237e-4,0.201971245764878,0.235986191511931,0.0986034059121246,-0.138888806256769,0.00543214023785042,3.7378640645229894e-141,0.00105862348077241,0.0528421015695221,0.98401674715326,0.9844068,0.3914108,0.1457407,0.3226505,0.332525063141948,Hearing,response amplitude,-0.030145424035896186,1.14038208847149e-4,-0.030368934818098055,-0.029921913253694317,-2.8229046133736078,0.0047644301850473525
response amplitude - pp4,4300,4346,-0.0230584402574424,0.226918587420246,0.0129115076250786,0.0520493683158629,9.9593916849542e-4,0.226919397272971,0.0511719272596146,0.0517071253011274,-0.0240543794119491,0.00363339806472172,3.83059515266925e-11,-0.0382604196289186,0.0363987439494782,0.293225102644253,0.93427939,0.13198509,0.05623545,0.144919726838499,0.15931364,Hearing,response amplitude,-0.09469362428586713,2.3148804318709522e-4,-0.09514733251336549,-0.09423991605836876,-6.223811877565646,5.077953613152886e-10
response amplitude - pp4_s,4300,4346,-0.049327819132946,0.216480946285643,0.0894275927230002,0.106135527060111,0.0389863622208988,0.216481146628255,0.138741837523386,0.105421851828072,-0.0883141813107283,0.00522756947527604,7.18858780512212e-63,-0.0493142447814279,0.0516394276982663,0.339622286979548,0.8892862,0.3409491,0.1001088,0.205777422885834,0.2193641,Hearing,response amplitude,-0.06393656068499164,2.3148804318709522e-4,-0.06439026891249,-0.06348285245749327,-4.202280024689455,2.6689765885379302e-5
response amplitude - s,8764,8783,-0.141303936463286,0.210660918478517,0.0886712127517102,0.114633231126004,0.0318319220083597,0.210659115424412,0.139355513874847,0.113446110435739,-0.173135858473607,0.00489795427608234,6.42913323864844e-263,-0.0506843011145102,0.0477729587773012,0.288733794634025,1.0280619,0.4913766,0.1261673,0.297242777825627,0.2955444,Hearing,response amplitude,0.0057302827781208245,1.1401871880426794e-4,0.0055068101957010595,0.005953755360540589,0.5366460977876755,0.5915188999430969
cardiac output,3035,2033,0.0575069632666759,0.288912302067676,2.44201342250731,0.219758969683235,0.41242989226174,0.289285738003732,2.7726764654561,0.230587350271002,-0.354922928972051,0.0289131857522767,4.7273224054987795e-34,-0.330663042761233,0.30839732088813,0.28369316853537,0.4986942,0.016766,0.4362802,0.807895161133395,0.8340178,Heart,cardiac output,-0.03190384379348758,4.112130704342514e-4,-0.03270980660151085,-0.031097880985464316,-1.5732927998178534,0.11571348164049722
cv,4410,4402,0.315533809975177,0.195115414827435,-0.967550101021916,0.24843432840768,0.0358476402830256,0.195150253334787,-0.530054152116573,0.241783032046016,0.279686169717392,0.0187752959413127,1.68356186337576e-49,-0.437495949596563,0.183622599621501,0.0172157440134662,0.4805444,0.4470678,0.4576159,0.8246244,0.838285360484268,Heart,cv,-0.016430764544909524,2.271180616218809e-4,-0.01687590776592696,-0.01598562132389209,-1.090264661705327,0.2756263955684841
ejection fraction,3168,2178,-0.261795193465293,0.566671780594458,-0.285203113205542,0.117771124549577,-0.295868942361499,0.566687480568042,-0.224365133952467,0.109440338212891,0.0340737488953383,0.0130864275772089,0.00925232149997615,-0.0608379793044825,0.140165531348417,0.664278099653809,0.98128586,0.08136039,0.22580131,0.410183595776168,0.36074566,Heart,ejection fraction,0.1283597797803445,3.8786294056763083e-4,0.12759958238589414,0.12911997717479484,6.5176317730927344,7.798806045400397e-11
end-diastolic diameter,1630,631,-0.198802776381348,0.155832987305649,3.37988182047337,0.550338448715323,0.36256118732767,0.159781379909353,4.69384210612783,0.673478725406568,-0.561363963709914,0.0514025815819727,6.28546874090593e-27,-1.31396028565206,0.547244867152823,0.016449275518731,0.2159217,0.6626862,0.3870647,0.7060311,0.963907478702585,Heart,end-diastolic diameter,-0.3118248903093482,0.001103492418933679,-0.31398769570767115,-0.3096620849110252,-9.386984512026109,0
end-systolic diameter,1630,631,-0.210620245664746,0.319213003321621,2.00617796203494,0.3863206948171,0.157455606741772,0.321176393900538,2.996456110417,0.544274342687824,-0.368075852416438,0.0514640949483761,1.2385216917503099e-12,-0.990278148482812,0.545147633826688,0.0694552404421971,0.4492186,0.3620745,0.412935,0.7323104,0.948355604310277,Heart,end-systolic diameter,-0.25901393842371434,0.001103492418933679,-0.2611767438220373,-0.25685113302539136,-7.797196131361554,9.547918011776346e-15
fractional shortening,3198,2210,-0.259333534080906,0.410705740433059,-0.30344902996622,0.126515242592457,-0.298326435483757,0.410717085304815,-0.247013431145058,0.124005245127696,0.0389929013888885,0.0127027475445274,0.00215614388841324,-0.0564355988681407,0.134949436413111,0.675822582187856,0.8134635,0.1418838,0.2137391,0.3912234,0.366027598544867,Heart,fractional shortening,0.06649995854621127,3.8304640307231294e-4,0.06574920139178192,0.06725071570064062,3.3977833222333156,6.842475373658452e-4
hr,9716,8674,-0.650379312024291,0.359099719267243,0.340675309132603,0.11092340776086,-0.618270501954263,0.359097674019152,0.346337066787774,0.109180014625625,-0.0321088101675846,0.00569389040422598,1.73842669927506e-8,-0.00566175701419695,0.0555346484001181,0.918797681506071,1.3410982,0.3540572,0.1955228,0.3645891,0.332301646951427,Heart,hr,0.09272164838012331,1.0914087737510681e-4,0.092507736191227,0.09293556056901962,8.875389542931357,0
hrv,4059,4044,0.446866942266405,0.143229931871887,-0.931745877139184,0.183417103062923,0.158505075884667,0.143292380415513,-0.586335478534325,0.171265187354541,0.288361866532707,0.0201218808304157,6.06269140598324e-46,-0.345410399365903,0.19925293568364,0.0830451142974111,0.3074732,0.1415344,0.4449615,0.8407597,0.866014606715826,Heart,hrv,-0.029596345013723827,2.4700591130263905e-4,-0.030080467703845495,-0.02911222232360216,-1.8831478032128537,0.05971613637679285
lvawd,1778,794,0.323851782720582,0.40676867494563,1.87411297590608,0.370567905091246,0.445013243306493,0.406979079602689,2.13521248685421,0.412949400629556,-0.121161463302139,0.0401038048426317,0.00254920581754418,-0.261099503401689,0.399753387921707,0.513732577288566,0.6626535,0.3994507,0.3922019,0.7745153,0.754218168439595,Heart,lvawd,0.026205319013504157,9.138013924253486e-4,0.024414301195327923,0.02799633683168039,0.8668891019226305,0.38608370284897786
lvaws,1748,762,0.280846841103615,0.599203836050829,1.95842459963594,0.467575864656167,0.280380271321551,0.599592012307735,1.09080227277522,0.511433478449533,4.6656976912623e-4,0.0411285893429257,0.990950002940623,0.867622326718848,0.41835406083259,0.0382186559209689,0.8461848,0.5332601,0.4542149,0.7418922,0.756324582745529,Heart,lvaws,-0.019638905277634726,9.452944796161441e-4,-0.0214916484124669,-0.017786162142802552,-0.6387541203423404,0.5230412251764578
lvidd,3197,2210,0.396428465854171,0.442448873919739,1.19204198685839,0.115689874146479,0.545055233037523,0.442492140718867,1.01359225767979,0.126691705246796,-0.148626767171154,0.0134815311783558,6.70297253602875e-28,0.178449729465172,0.143049397714338,0.212291536383293,0.8782823,0.1137875,0.1936344,0.379985942066599,0.4350999,Heart,lvidd,-0.13551141078113352,3.830953994789165e-4,-0.13626226396675517,-0.13476055759551187,-6.9234474202714535,4.920508445138694e-12
lvids,3197,2210,0.353071870855292,0.437421005592119,0.731089510472166,0.145731815954905,0.476045487032466,0.437456689324014,0.708666589647217,0.152042836320442,-0.122973616176984,0.0129942639537091,4.69701410069004e-21,0.0224229208830371,0.137504315133662,0.870470243685193,0.8681055,0.2141308,0.2004695,0.370371,0.409147995551361,Heart,lvids,-0.09964174029656546,3.830953994789165e-4,-0.10039259348218713,-0.09889088711094379,-5.090821103780141,3.6859709950931574e-7
lvpwd,3197,2210,0.668110060615066,0.560659301874775,1.23210740429083,0.484051402766067,0.799907752130745,0.560668034482489,1.70517217730726,0.482613560289963,-0.131797691394572,0.0165532856807221,2.13464159709244e-15,-0.473064772937527,0.172852284966203,0.00622850630363999,1.1009815,0.9132574,0.3902211,0.488380494162294,0.4560004,Heart,lvpwd,0.06853110812808942,3.830953994789165e-4,0.06778025494246775,0.06928196131371109,3.5013400055593156,4.6666476993340034e-4
lvpws,3167,2178,0.393212905040744,0.661070821353567,0.605663068795209,0.241911459627171,0.46977006970255,0.661078237563523,0.704942816479918,0.238472907639914,-0.0765571646617135,0.0108869582046201,2.3527558737083e-12,-0.099279747660761,0.115571875669756,0.39037098072004,1.1448495,0.3887438,0.2294125,0.336695617275573,0.2871779,Heart,lvpws,0.1590055677806173,3.8791287036633393e-4,0.15824527252555973,0.1597658630356749,8.073191186527673,8.881784197001252e-16
mean r amplitude,4561,4532,-0.406725815130041,0.484403044345939,0.743638770312936,0.226025851623319,-0.536688118545301,0.484409754201322,1.20517754058861,0.21858473658054,0.129962303644568,0.016978698140196,2.16681314830804e-14,-0.461538773570204,0.168278375025655,0.00610692620005354,1.1802941,0.3200941,0.5742245,0.7426585,0.771022102501283,Heart,mean r amplitude,-0.037481426971092184,2.200968823507926e-4,-0.037912808933609286,-0.03705004500857508,-2.5264410622294498,0.011539302583599476
